School,Early Decision 1,Application Fee,Early Decision 2,Regular Decision
setonhall,N/A,$65,N/A,04/01
siu,N/A,N/A,N/A,N/A
slu,N/A,N/A,N/A,N/A
smu,11/15,$75,N/A,02/15
southcarolina,N/A,$60,N/A,N/A
southdakota,01/01,$35,N/A,04/01
southern,09/01,$50,N/A,06/10
southtexas,N/A,$55,N/A,03/15
southwestern,N/A,$60,N/A,07/01
stanford,N/A,$100,N/A,N/A
stetson,N/A,$55,N/A,N/A
stjohns,N/A,$60,N/A,N/A
stmarys,N/A,N/A,N/A,03/01
stthomas,N/A,N/A,N/A,N/A
stu,N/A,$60,N/A,N/A
suffolk,N/A,$60,N/A,04/01
syracuse,N/A,$75,N/A,04/01
temple,N/A,$60,N/A,04/01
tennessee,12/01,$15,N/A,01/15
texasam,N/A,$55,N/A,N/A
texassouthern,N/A,$55,N/A,N/A
texastech,N/A,$50,N/A,N/A
texas,03/01,$70,N/A,04/30
thomasjefferson,N/A,N/A,N/A,N/A
toledo,N/A,N/A,N/A,N/A
toronto,N/A,N/A,N/A,N/A
touro,N/A,N/A,N/A,N/A
tulane,N/A,$60,N/A,N/A
tulsa,02/01,$30,N/A,N/A
ucla,12/01,$75,N/A,12/31
uconn,N/A,$60,N/A,N/A
udc,N/A,N/A,N/A,03/15
unc,N/A,$75,N/A,N/A
usc,11/15,$75,N/A,12/01
utah,N/A,$60,N/A,02/15
uva,11/01,$80,N/A,01/01
valparaiso,12/01,N/A,N/A,03/15
vanderbilt,N/A,$50,N/A,N/A
vermont,11/15,$60,N/A,04/15
victoria,N/A,N/A,N/A,N/A
villanova,12/01,N/A,09/01,04/01
wake,N/A,$75,N/A,N/A
washburn,11/15,$40,N/A,03/01
washington,11/15,$60,N/A,03/15
washu,12/01,$70,N/A,N/A
wayne,N/A,N/A,N/A,N/A
westernnewengland,N/A,$50,N/A,03/15
westernontario,N/A,N/A,N/A,N/A
westernstate,N/A,$60,N/A,N/A
whittier,N/A,$65,N/A,03/15
widener,N/A,$60,N/A,N/A
willamette,11/15,N/A,N/A,N/A
williammitchell,N/A,N/A,N/A,N/A
windsor,N/A,N/A,N/A,N/A
wisconsin,11/15,$56,N/A,04/01
wl,11/01,N/A,01/01,01/01
wm,01/15,$50,N/A,04/01
wvu,N/A,$50,N/A,N/A
wyoming,12/15,$50,N/A,06/05
yale,11/01,$60,N/A,01/01
york,N/A,N/A,N/A,N/A
