,index_x,College Name or Type,State,City,id,5,State_acronym,enrollment,group,index_y,location,name,public,rank,tuition
197,3347,liberal arts - ivy,new york,new york,3348,,,,,,,,,,
198,3366,top 20 liberal artd,,,3367,,,,,,,,,,
199,3376,top 30 liberal arts,,,3377,,,,,,,,,,
200,3377,top 30 liberal arts,,,3378,,,,,,,,,,
201,3378,top 30 liberal arts,illinois,,3379,,,,,,,,,,
202,3379,top 30 liberal arts,other,,3380,,,,,,,,,,
203,3400,top 50 - liberal arts,new jersey,,3401,,,,,,,,,,
204,3402,lac top 5,california,claremont,3403,,ca,"1,660",national_lac,18,"Claremont, CA",pomona college,FALSE,6,"$51,075 "
209,3405,~50 lac,,,3406,,,,,,,,,,
210,3412,t15 liberal arts,new york,,3413,,,,,,,,,,
211,3413,t15 liberal arts,virginia,arlington,3414,,,,,,,,,,
212,3447,top five liberal arts,washington - d.c.,washington,3448,,,,,,,,,,
213,3464,t20 liberal arts,new york,,3465,,,,,,,,,,
214,3467,selective top 15 liberal arts,,,3468,,,,,,,,,,
215,3495,top 20 liberal arts college,illinois,,3496,,,,,,,,,,
216,3496,top 20 liberal arts college,north carolina,,3497,,,,,,,,,,
217,3497,top 20 liberal arts college,,,3498,,,,,,,,,,
218,3501,"liberal arts, top 40",pennsylvania,pittsburgh,3502,,,,,,,,,,
219,3522,"top 25, small liberal arts",new york,metro-nyc area,3523,,,,,,,,,,
220,3523,top three liberal ar,,,3524,,,,,,,,,,
221,3529,top-15 liberal arts college,,,3530,,,,,,,,,,
222,3533,top 50 liberal,new york,,3534,,,,,,,,,,
223,3536,top-5 lac,,,3537,,,,,,,,,,
224,3546,"#1 small, liberal arts college",florida,,3547,,,,,,,,,,
225,3547,top-10 liberal arts,california,,3548,,,,,,,,,,
226,3548,top-10 liberal arts,,,3549,,,,,,,,,,
227,3572,private liberal arts - top ten,north carolina,,3573,,,,,,,,,,
228,3581,liberal arts top 25,connecticut,,3582,,,,,,,,,,
229,3587,t25 liberal arts college,california,,3588,,,,,,,,,,
230,3595,30th-ish national liberal arts,oregon,,3596,,,,,,,,,,
231,3607,liberal arts top 15,new york,urban,3608,,,,,,,,,,
232,3615,t-5 liberal arts,california,los angeles,3616,,,,,,,,,,
233,3617,top 75 liberal arts,illinois,,3618,,,,,,,,,,
234,3626,top 10 liberal arts college,new jersey,,3627,,,,,,,,,,
235,3627,top 10 liberal arts college,north carolina,,3628,,,,,,,,,,
236,3628,ivy league-liberal arts,west virginia,weirton/ post-industrial; subu,3629,,,,,,,,,,
237,3634,top 50 liberal arts college,,,3635,,,,,,,,,,
238,3635,top 12 liberal arts college,california,desert hot springs,3636,,,,,,,,,,
239,3666,t25 liberal arts school,california,bay area,3667,,,,,,,,,,
240,3668,top 5-liberal arts,,,3669,,,,,,,,,,
241,3674,liberal arts college (top 10),,,3675,,,,,,,,,,
242,3677,small private liberal arts t20,california,los angeles,3678,,ca,"2,062",national_lac,129,"Los Angeles, CA",occidental college,FALSE,44,"$52,838 "
243,3684,private - top 25 lac,pennsylvania,,3685,,,,,,,,,,
244,3687,private liberal arts top 50,kentucky,louisville,3688,,,,,,,,,,
245,3688,women&#39;s lac,,"ny, ny",3689,,,,,,,,,,
246,3697,private liberal arts top 75,tennessee,knoxville,3698,,,,,,,,,,
247,3700,t-10 liberal arts,maryland,,3701,,,,,,,,,,
248,3701,t-10 liberal arts,california,los angeles,3702,,,,,,,,,,
249,3710,private liberal arts top 100,tennessee,knoxville,3711,,,,,,,,,,
250,3723,top 20 small liberal arts,washington - d.c.,washington,3724,,,,,,,,,,
251,3727,top 4 liberal arts,massachusetts,,3728,,,,,,,,,,
252,3730,private top 30 lac,wisconsin,madison,3731,,,,,,,,,,
253,3738,top 50 private lac,,,3739,,,,,,,,,,
254,3740,tier 1 national liberal arts,pennsylvania,,3741,,,,,,,,,,
255,3752,top 25 lac,,,3753,,,,,,,,,,
256,3753,top 25 lac,,,3754,,,,,,,,,,
257,3754,top 25 lac,,"st. paul, mn, u.s.a.",3755,,,,,,,,,,
258,3758,liberal arts (10-20),west virginia,,3759,,,,,,,,,,
259,3769,lac top 25,minnesota,,3770,,,,,,,,,,
260,3771,t20 lac,,,3772,,,,,,,,,,
261,3773,t-15 liberal arts,,,3774,,,,,,,,,,
262,3774,t-15 liberal arts,california,,3775,,,,,,,,,,
263,3777,liberal arts--top 5,new york,new york,3778,,,,,,,,,,
264,3782,top 20 liberal arts school,new york,,3783,,,,,,,,,,
265,3784,liberal arts top 40,tennessee,,3785,,,,,,,,,,
266,3800,liberal arts top 50,maine,,3801,,,,,,,,,,
267,3847,top10 liberal arts,,,3848,,,,,,,,,,
268,3849,top 6 private/liberal arts,,,3850,,,,,,,,,,
269,3850,top 10 private lac,pennsylvania,philadelphia,3851,,,,,,,,,,
270,3857,t20 liberal arts college,,,3858,,,,,,,,,,
271,3860,liberal arts top 20,new york,,3861,,,,,,,,,,
272,3865,top 25 private liberal arts,california,oakland,3866,,,,,,,,,,
273,3866,top 25 private liberal arts,,,3867,,,,,,,,,,
274,3867,t25 liberal arts,,,3868,,,,,,,,,,
275,3868,t25 liberal arts,pennsylvania,main line,3869,,,,,,,,,,
276,3869,liberal arts (top 5),,,3870,,,,,,,,,,
277,3873,top 3 liberal arts college,,,3874,,,,,,,,,,
278,3879,"top 20 lac, women",,ma,3880,,,,,,,,,,
279,3881,liberal arts (top 25),california,,3882,,,,,,,,,,
280,3882,liberal arts (top 25),pennsylvania,,3883,,,,,,,,,,
281,3883,top 5 public liberal,new jersey,rural,3884,,,,,,,,,,
282,3884,liberal arts-top 20,new york,suburbs-nyc,3885,,,,,,,,,,
283,3888,liberal arts-top 3,,,3889,,,,,,,,,,
284,3889,liberal arts college - top 10,,,3890,,,,,,,,,,
285,3901,slac/top 20 university,tennessee,nashville,3902,,,,,,,,,,
286,3905,top-15 liberal arts,,ma,3906,,,,,,,,,,
287,3909,liberal arts (top 20),colorado,,3910,,,,,,,,,,
288,3919,t15 lac,other,,3920,,,,,,,,,,
289,3928,top 10 liberal art,,,3929,,,,,,,,,,
290,3929,"small liberal arts, top 30",massachusetts,boston,3930,,,,,,,,,,
291,3930,#1-2 liberal arts,illinois,chicago suburb,3931,,,,,,,,,,
292,3935,top 100 lac,massachusetts,,3936,,,,,,,,,,
293,3943,top 10  liberal arts school,,,3944,,,,,,,,,,
