,College Name or Type,guess,name,big10,pac,sisters,hbcu
943,big west coast public,,,,,,
944,top state school,,,,,,
945,bowling green state university,,1,,,,
946,"public, liberal arts",,,,,,
947,salisbury university,,1,,,,
948,large private university,,,,,,
949,mit,,1,,,,
950,regis university,,,,,,
951,"top 20, private",1,1,,,,
952,umich-ann arbor,,1,,,,
953,berry college (ga),,1,,,,
954,university of texas at arlingt,,1,,,,
955,top 3 liberal arts,1,1,,,,
956,bgsu,,1,,,,
957,st olaf college,,1,,,,
958,top 5 liberal arts c,1,1,,,,
959,university of toledo,,1,,,,
960,med-large,,,,,,
961,university of georgi,,1,,,,
962,doctoral granting 1,,,,,,
963,university of md,,1,,,,
964,univ. of penn.,,1,,,,
965,top 20 liberal arts,1,1,,,,
966,"2nd tier, private",,,,,,
967,west point,,1,,,,
968,public (sfsu),,1,,,,
969,top 25 public university,1,1,,,,
970,east tennessee state,,1,,,,
971,u of illinois,,1,,,,
972,public-in ky!,,,,,,
973,top public univ.,,,,,,
974,indiana university south bend,,1,,,,
975,uflorida,,1,,,,
976,small private regional,,,,,,
977,top 50 (private),1,1,,,,
978,arizona state,,1,,,,
979,western michigan university,,1,,,,
980,wvu,,1,,,,
981,large public ttt i l,,,,,,
982,top university,,,,,,
983,university of north texas,,1,,,,
984,the 5th level of hell!,,,,,,
985,private/top 22,1,1,,,,
986,georgia state,,1,,,,
987,seton hall university,,1,,,,
988,uw - madison,,1,,,,
989,mid-major university,,,,,,
990,top15,1,1,,,,
991,large state schol,,,,,,
992,4-year private university,,,,,,
993,george mason university,,1,,,,
994,vanderbilt university,,1,,,,
995,hillsdale college,,1,,,,
996,uc irvine,,1,,,,
997,u.c. berkeley,,1,,,,
998,university of illino,,1,,,,
999,large private (city),,,,,,
1000,midsize public,,,,,,
1001,sfasu,,1,,,,
1002,westmont college,,1,,,,
1003,msu orlando,,1,,,,
1004,"public, #12 undergrad business",1,1,,,,
1005,"university of ca, sa",,1,,,,
1006,top  public,,,,,,
1007,good public,,,,,,
1008,h/y/p,,1,,,,
1009,private-nyu,,1,,,,
1010,private national lib,,,,,,
1011,university of new hampshire,,1,,,,
1012,privte liberal arts,,,,,,
1013,"small public, south carolina",,1,,,,
1014,college of william and mary,,1,,,,
1015,private college,,,,,,
1016,public (wwu),,1,,,,
1017,7 sisters,,,,,1,
1018,boston college &#39;,,1,,,,
1019,public state univers,,,,,,
1020,university of dayton,,1,,,,
1021,greensboro college,,1,,,,
1022,hyps,,1,,,,
1023,private t50,1,1,,,,
1024,public state school,,,,,,
1025,university of massachusetts -,,1,,,,
1026,florida a&m university,,1,,,,
1027,top 15 private,1,1,,,,
1028,top tier private,,,,,,
1029,utd,,1,,,,
1030,byu-idaho,,1,,,,
1031,public honors,,,,,,
1032,4 yr,,,,,,
1033,private - ma,,,,,,
1034,"medium/private, urban",,,,,,
1035,medium university,,,,,,
1036,well ranked liberal arts,,,,,,
1037,private - top 60,1,1,,,,
1038,public state,,,,,,
1039,top 25 liberal arts,1,1,,,,
1040,dcu,,1,,,,
1041,"private, catholic, liberal art",,,,,,
1042,private/top 15,1,1,,,,
1043,very regional slac,,,,,,
1044,ngu,,1,,,,
1045,high school,,,,,,
1046,platt college,,1,,,,
1047,umass,,1,,,,
1048,"liberal arts college, top 30",1,1,,,,
1049,university of west georgia,,1,,,,
1050,university of southern mississ,,1,,,,
1051,lower t1 lac,,,,,,
1052,"large, top ranked public",,,,,,
1053,cal poly san luis ob,,1,,,,
1054,state flagship,,,,,,
1055,private - top 15,1,1,,,,
1056,public (canadian),,,,,,
1057,osu,,1,,,,
1058,stony brook university,,1,,,,
1059,top 25 university,1,1,,,,
1060,saint peter's university,,1,,,,
1061,west virginia university,,1,,,,
1062,odu,,1,,,,
1063,pac-10 school,,,,1,,
1064,"liberal arts, top 20",1,1,,,,
1065,uc berkleyl,,1,,,,
1066,kansas state university,,1,,,,
1067,"university of california, los",,1,,,,
1068,miami university - oxford,,1,,,,
1069,top 5 private,1,1,,,,
1070,foreign public,,,,,,
1071,top 20 private university,1,1,,,,
1072,kansas state,,1,,,,
1073,southwestern university,,1,,,,
1074,party,,,,,,
1075,small lac,,,,,,
1076,top 20 public university,1,1,,,,
1077,top 30 lac,1,1,,,,
1078,public - state,,,,,,
1079,small ca liberal arts,,,,,,
1080,small/private,,,,,,
1081,private t100,1,,,,,
1082,edinboro u. of pa,,1,,,,
1083,"university of california, berk",,1,,,,
1084,"engineering, t25",1,,,,,
1085,technical,,,,,,
1086,mediocre private,,,,,,
1087,university of phoenix,,1,,,,
1088,huge public,,,,,,
1089,public - ucd,,1,,,,
1090,overpriced mid-atlan,,,,,,
1091,top 20 state school,1,,,,,
1092,cornell,,1,,,,
1093,"top 25, public",1,1,,,,
1094,medium sized public university,,,,,,
1095,oversized state school,,,,,,
1096,boise state,,1,,,,
1097,uwo,,,,,,
1098,texas christian university,,1,,,,
1099,sdsu,,1,,,,
1100,public institution,,,,,,
1101,"small top 30, privat",1,1,,,,
1102,ll.b.,,,,,,
1103,women's liberal arts,,,,,,
1104,university of maryland: colleg,,1,,,,
1105,augsburg college,,1,,,,
1106,small state universi,,,,,,
1107,north carolina central univers,,1,,,,
1108,first tier public,,,,,,
1109,top 4 public,1,1,,,,
1110,non-descript state,,,,,,
1111,college-level,,,,,,
1112,colorado state - global campus,,1,,,,
1113,"private, catholic",,,,,,
1114,med. public,,,,,,
1115,art school,,,,,,
1116,state; medium size,,,,,,
1117,public 4-year university,,,,,,
1118,lanzhou university,,,,,,
1119,texas tech university,,1,,,,
1120,texas tech u,,1,,,,
1121,"t20, private",1,1,,,,
1122,st. johns university,,1,,,,
1123,"small, private",,,,,,
1124,large state u.,,,,,,
1125,wi state school,,,,,,
1126,state flagship public,,,,,,
1127,city,,,,,,
1128,big10student,,,1,,,
1129,private - top 30,1,1,,,,
1130,wake forest,,1,,,,
1131,pubic,,,,,,
1132,small state university,,,,,,
1133,georgetown university,,1,,,,
1134,u of t,,,,,,
1135,fancypants,,,,,,
1136,big state university,,,,,,
1137,alabama,,1,,,,
1138,quinnipiac university,,1,,,,
1139,"trust me, not a top school",,,,,,
1140,mercer,,1,,,,
1141,suny binghamton,,1,,,,
1142,stetson university,,1,,,,
1143,service academy,,,,,,
1144,uc santa cruz,,1,,,,
1145,pepperdine un.,,1,,,,
1146,big 12,,,1,,,
1147,medium state school,,,,,,
1148,very good private,,,,,,
1149,campbell,,1,,,,
1150,kennesaw state university,,1,,,,
1151,public (honors college),,,,,,
1152,top 40 usnwr,1,1,,,,
1153,bc,,1,,,,
1154,california polytechnic state u,,1,,,,
1155,western state university schoo,,1,,,,
1156,small unknown lac,,,,,,
1157,obscure/private,,,,,,
1158,ny private,,,,,,
1159,top-rated liberal arts,,,,,,
1160,catholic,,,,,,
1161,flagship,,,,,,
1162,nd,,1,,,,
1163,#1-2 public,1,1,,,,
1164,"medium-sized, east coast catho",,,,,,
1165,seven sister,,,,,1,
1166,montana land grant univ.,,1,,,,
1167,t25,1,1,,,,
1168,top 50 university,1,1,,,,
1169,tier 2,,,,,,
1170,public - top 10 business,1,1,,,,
1171,northern arizona university,,1,,,,
1172,private institution,,,,,,
1173,liberal arts women&#,,,,,,
1174,public-  mid size,,,,,,
1175,"public, top 100",1,,,,,
1176,american public university,,,,,,
1177,mid major,,,,,,
1178,state-public,,,,,,
1179,oklahoma state university,,1,,,,
1180,nc public,,,,,,
1181,top 15 ug,1,1,,,,
1182,elite liberal arts,,,,,,
1183,west chester univers,,1,,,,
1184,# 2 public school,1,1,,,,
1185,emory,,1,,,,
1186,dakota wesleyan university,,1,,,,
1187,"public, uc",1,,,,,
1188,sacramento state,,1,,,,
1189,top 10 undergrad,1,1,,,,
1190,christian liberal arts,,,,,,
1191,decent regional uni,,,,,,
1192,"large, public university",,,,,,
1193,private - northeast,,,,,,
1194,vip,,,,,,
1195,university of texas austin,,1,,,,
1196,illinois state unive,,1,,,,
1197,bellevue u,,1,,,,
1198,undergrad - texas a&m universi,,1,,,,
1199,"michigan state university, jam",,1,,,,
1200,top-tier public,,,,,,
1201,top 10 lac,1,1,,,,
1202,bba,,,,,,
1203,wuhan university,,,,,,
1204,univ. s. carolina,,1,,,,
1205,large urban public,,,,,,
1206,large private (nyc),,,,,,
1207,public small/medium,,,,,,
1208,university of wisconsin,,1,,,,
1209,top 10? private,1,1,,,,
1210,"public, big ten",,,1,,,
1211,thomas edison state college,,1,,,,
1212,james madison college at michi,,1,,,,
1213,jesuit university,,,,,,
1214,uc berkeley (ba) usc school of,,1,,,,
1215,private/top 50,1,1,,,,
1216,iu bloomington,,1,,,,
1217,ba,,,,,,
1218,top engineering,,,,,,
1219,lg. public,,,,,,
1220,"top 20, private, sou",1,1,,,,
1221,mid-sized public,,,,,,
1222,univ. of colorado,,1,,,,
1223,oklahoma state,,1,,,,
1224,vt,,1,,,,
1225,big ten burrito,,,1,,,
1226,small catholic,,,,,,
1227,mid-major,,,,,,
1228,pensacola christian college,,1,,,,
1229,temple university,,1,,,,
1230,top 25 national university,1,1,,,,
1231,top 10 ugrad business school,1,1,,,,
1232,pukyung university,,,,,,
1233,top ten public,1,1,,,,
1234,university of virgin,,1,,,,
1235,top 5 liberal arts,1,,,,,
1236,"public, private",,,,,,
1237,4year state,,,,,,
1238,ne state school,,,,,,
1239,city university,,,,,,
1240,stony brook,,1,,,,
1241,gwu,,1,,,,
1242,bucknell university (private),,1,,,,
1243,wake forest university,,1,,,,
1244,big public top 50,1,1,,,,
1245,kalamazoo college,,1,,,,
1246,snu,,,,,,
1247,university of redlands,,1,,,,
1248,undergradute,,,,,,
1249,undegrad,,,,,,
1250,florida atlantic univeristy,,1,,,,
1251,unremarkable state,,,,,,
1252,foreign (australia),,,,,,
1253,u,,,,,,
1254,u. of florida,,1,,,,
1255,large- public,,,,,,
1256,western governors university,,1,,,,
1257,university of nevada reno,,1,,,,
1258,public in tx,,,,,,
1259,top small private,,,,,,
1260,top university/private,,,,,,
1261,private dc school good at hoop,,,,,,
1262,texas a&m university commerce,,1,,,,
1263,george washington,,1,,,,
1264,hunter collge,,1,,,,
1265,florida atlantic university,,1,,,,
1266,university of california san d,,1,,,,
1267,tier 2 or 3,,,,,,
1268,private engineering school,,,,,,
1269,bradley university,,1,,,,
1270,4 year college,,,,,,
1271,private non-ivy top 15,1,1,,,,
1272,cameron university,,1,,,,
1273,mid size private - north east,,,,,,
1274,small liberal arts (top 15),1,1,,,,
1275,undergraduate - univ,,,,,,
1276,u texas,,1,,,,
1277,university of maryla,,1,,,,
1278,lib arts,,,,,,
1279,kaplan university,,1,,,,
1280,yale college,,1,,,,
1281,fau,,1,,,,
1282,"top 15, private",1,1,,,,
1283,sfsu,,1,,,,
1284,northwestern college,,1,,,,
1285,top10,1,1,,,,
1286,"ivy, ph.d. candidate",1,1,,,,
1287,holy crpss,,1,,,,
1288,sfu,,,,,,
1289,polytechnic state. u,,1,,,,
1290,florida international,,1,,,,
1291,saint michael's college,,1,,,,
1292,cdn.,,,,,,
1293,university of south florida,,1,,,,
1294,washington & lee,,1,,,,
1295,"private, top 20, univ",1,1,,,,
1296,andrews university,,1,,,,
1297,snhu,,,,,,
1298,overpriced private school,,,,,,
1299,"private, holy cross",,1,,,,
1300,state.. oh yeah,,,,,,
1301,san francisco state,,1,,,,
1302,top public uni,,,,,,
1303,t10 lac,1,,,,,
1304,occidental college,,1,,,,
1305,ut-austin,,1,,,,
1306,unm,,1,,,,
1307,howard university,,1,,,,
1308,public (temple u.),,1,,,,
1309,"public, urban",,,,,,
1310,tier i public,,,,,,
1311,vassar college,,1,,,,
1312,washington and lee,,1,,,,
1313,large public research,,,,,,
1314,"small, liberal arts, private",,,,,,
1315,eller college of management,,1,,,,
1316,mcgill,,,,,,
1317,small public (suny),,1,,,,
1318,top ten liberal arts,1,1,,,,
1319,huge state,,,,,,
1320,california state university ea,,1,,,,
1321,top 30 (usnwr),1,1,,,,
1322,oakland university,,1,,,,
1323,small religious private,,,,,,
1324,university of puerto rico,,1,,,,
1325,undgergraduate,,,,,,
1326,university of texas arlington,,1,,,,
1327,highly selective liberal arts,,,,,,
1328,large public shool,,,,,,
1329,top business school,,,,,,
1330,suny fredonia,,1,,,,
1331,cornell u,,1,,,,
1332,texas state,,1,,,,
1333,u of notre dame (18t,,1,,,,
1334,u. of south carolina,,1,,,,
1335,university of louisville,,1,,,,
1336,abac,,1,,,,
1337,top 15 undergrad,1,1,,,,
1338,small private univer,,1,,,,
1339,chicago,,1,,,,
1340,top 3/private,1,1,,,,
1341,miami university,,1,,,,
1342,t10 private,1,1,,,,
1343,uic,,1,,,,
1344,tx state,,1,,,,
1345,large sec,,,,,,
1346,ne liberal arts,,,,,,
1347,"minnesota state university, ma",,1,,,,
1348,nice,,,,,,
1349,big,,,,,,
1350,drew university,,1,,,,
1351,music conservatory,,,,,,
1352,university of tennessee at cha,,1,,,,
1353,private - adult ed,,,,,,
1354,overseas,,,,,,
1355,top 35 (private university),1,1,,,,
1356,"top 5, private",1,1,,,,
1357,ucf (public),,1,,,,
1358,liberal arts/4 year state scho,,,,,,
1359,university of tennessee,,1,,,,
1360,private top-50,1,1,,,,
1361,henderson state,,1,,,,
1362,virginia commonwealth univ.,,1,,,,
1363,california baptist university,,1,,,,
1364,public -- top 30,1,1,,,,
1365,regional university,,,,,,
1366,top25,1,1,,,,
1367,g-town,,1,,,,
1368,"private, urban",,,,,,
1369,saint leo university,,1,,,,
1370,tier 1 private university,,,,,,
1371,canadian public,,,,,,
1372,4 year university/private,,,,,,
1373,albany college of pharmacy and,,1,,,,
1374,ou,,1,,,,
1375,priv,,,,,,
1376,ttt chicago school,,,,,,
1377,big 10 university,,,1,,,
1378,"tier-1, private",,,,,,
1379,average university,,,,,,
1380,"liberal arts, private",,,,,,
1381,top public school,,,,,,
1382,small mediocre liberal arts,,,,,,
1383,unremarkable public,,,,,,
1384,u of rochester,,1,,,,
1385,ucla (woo hoo),,1,,,,
1386,lynn university,,1,,,,
1387,colorado state,,1,,,,
1388,howard,,1,,,,
1389,u of mn,,1,,,,
1390,university at albany,,1,,,,
1391,uchicago,,1,,,,
1392,uc system,,1,,,,
1393,"top 10 engineering,",1,1,,,,
1394,top 20 us,1,1,,,,
1395,state u,,,,,,
1396,top 10 university,1,1,,,,
1397,ariz. state univ.,,1,,,,
1398,csun,,1,,,,
1399,uc riverside,,1,,,,
1400,private lib arts in ma,,,,,,
1401,"elite liberal arts, new englan",1,1,,,,
1402,rodeo clown college,,1,,,,
1403,st. john's university,,1,,,,
1404,a good one,,,,,,
1405,minor public,,,,,,
1406,public interest,,,,,,
1407,university of tennes,,1,,,,
1408,yeshiva university,,1,,,,
1409,big east,,,,,,
1410,ucr,,1,,,,
1411,top 15 university,1,1,,,,
1412,u of california,,1,,,,
1413,univ of n.colorado,,,,,,
1414,uc top 50,1,1,,,,
1415,top private (non ivy),1,1,,,,
1416,amherst college,,1,,,,
1417,pretty good,,,,,,
1418,cal,,,,,,
1419,top 3 canadian,,,,,,
1420,george mason,,1,,,,
1421,university of delaware,,1,,,,
1422,large public southern,,,,,,
1423,state / public,,,,,,
1424,4 year private,,,,,,
1425,university of northern iowa,,1,,,,
1426,women's/private,,,,,,
1427,medium-private,,,,,,
1428,military service academy,,1,,,,
1429,good private,,,,,,
1430,top 20 national,1,1,,,,
1431,loyola university maryland,,1,,,,
1432,texas a&m - college station,,1,,,,
1433,liberal arts university,,,,,,
1434,public (university o,,,,,,
1435,u of washington,,1,,,,
1436,private catholic university,,,,,,
1437,pitt panthers,,1,,,,
1438,tiffin university,,1,,,,
1439,tier 4 public,,,,,,
1440,"liberal arts, mid-tier",,,,,,
1441,iowa state univeristy,,1,,,,
1442,conservatory,,,,,,
1443,christian college,,,,,,
1444,colgate univ.,,1,,,,
1445,u of [province],,,,,,
1446,duquesne university,,1,,,,
1447,"state, small regional",,,,,,
1448,small jesuit,,,,,,
1449,u. washington,,1,,,,
1450,public (uri),,1,,,,
1451,north carolina state,,1,,,,
1452,top public (foreign),,,,,,
1453,berea college,,1,,,,
1454,top ranked tech,,,,,,
1455,wofford college,,1,,,,
1456,urban or suburban,,,,,,
1457,.,,,,,,
1458,business administration,,,,,,
1459,pomona,,1,,,,
1460,wichita state university,,1,,,,
1461,liberal arts college (nescac),,1,,,,
1462,umuc,,1,,,,
1463,university of texas - arlingto,,1,,,,
1464,small liberal arts university,,,,,,
1465,v,,,,,,
1466,private university - top 15,1,1,,,,
1467,duke,,1,,,,
1468,the florida state university,,1,,,,
1469,top-10 public,1,1,,,,
1470,"cal poly, slo",,1,,,,
1471,university of massachusetts da,,1,,,,
1472,large tier 1 university,,,,,,
1473,large/pubic,,,,,,
1474,4 yr. public university,,,,,,
1475,"state, public",,,,,,
1476,top 10 engineering,1,1,,,,
1477,uvu,,1,,,,
1478,university of roches,,1,,,,
1479,new jersey public university,,,,,,
1480,neu,,1,,,,
1481,gonzaga university,,1,,,,
1482,florida state univer,,1,,,,
1483,public/ research university,,,,,,
1484,public--uc,,1,,,,
1485,university of wi,,1,,,,
1486,"uc, riverside",,1,,,,
1487,univ. of tenn.,,1,,,,
1488,public.. uc baby,,1,,,,
1489,ivy league - double degree pro,1,1,,,,
1490,washington state university,,1,,,,
1491,california not cal,,1,,,,
1492,large public in northern va,1,1,,,,
1493,reed college,,1,,,,
1494,u of illinois champaign,,1,,,,
1495,guilford college,,1,,,,
1496,public university (r1),1,,,,,
1497,t3 public,1,,,,,
1498,top20,1,1,,,,
1499,public top 10,1,1,,,,
1500,cu-boulder,,1,,,,
1501,university of wisconsin-madiso,,1,,,,
1502,1st tier liberal arts,,,,,,
1503,"private, top 30 liberal arts u",1,1,,,,
1504,arizona state universtity,,1,,,,
1505,state colege,,,,,,
1506,university of st thomas,,1,,,,
1507,concordia,,1,,,,
1508,top 50/top 20 (publi,1,1,,,,
1509,university of texas at el paso,,1,,,,
1510,big eight,,,1,,,
1511,large research,,,,,,
1512,journalism,,,,,,
1513,university of nevada,,1,,,,
1514,university of colorado,,1,,,,
1515,"public, state",,,,,,
1516,"public, big 12",,,1,,,
1517,csus,,1,,,,
1518,private liberal arts top 25,1,1,,,,
1519,gettysburg college,,1,,,,
1520,large public/private,,,,,,
1521,b10,,,1,,,
1522,canadian ug / us grad,,,,,,
1523,tier 1 private,,,,,,
1524,public (tamu),,1,,,,
1525,university of california (mid,,1,,,,
1526,pacific nw hippie college,,1,,,,
1527,top-ranking international,,,,,,
1528,"california state university, l",,1,,,,
1529,minnesota,,1,,,,
1530,top public regional,,,,,,
1531,eastern washington university,,1,,,,
1532,public top 20,1,1,,,,
1533,university of ottawa,,,,,,
1534,top-25,1,1,,,,
1535,public graduate,,,,,,
1536,bucknell university,,1,,,,
1537,state school (csu),,1,,,,
1538,ivy-like (but non ivy),1,1,,,,
1539,large public univ,,,,,,
1540,large research public,,,,,,
1541,"small, catholic, and private",,,,,,
1542,top 25 liberal arts college,1,1,,,,
1543,"public, small",,,,,,
1544,grove city college,,1,,,,
1545,mercer university grad!,,1,,,,
1546,regional liberal arts,,,,,,
1547,university of hawaii at manoa,,1,,,,
1548,lac - top 5,1,1,,,,
1549,american military university,,1,,,,
1550,large-public university,,,,,,
1551,ohio state univ,,1,,,,
1552,slu,,1,,,,
1553,ny public,,,,,,
1554,top 20 private unive,1,1,,,,
1555,suny empire state,,1,,,,
1556,msu,,1,,,,
1557,univ. of south carol,,1,,,,
1558,"private, ivy league",,,,,,
1559,t10 liberal arts school,1,1,,,,
1560,top private school,,,,,,
1561,b.s.,,,,,,
1562,top 30 public,1,1,,,,
1563,northwestern univers,,1,,,,
1564,roanoke college,,1,,,,
1565,utrecht university,,1,,,,
1566,catholic university of america,,1,,,,
1567,top 12 liberal arts,1,1,,,,
1568,university of houston downtown,,1,,,,
1569,towson,,1,,,,
1570,jhu,,1,,,,
1571,northeast public,,,,,,
1572,public four-year university,,,,,,
1573,top 25 national u/to,1,1,,,,
1574,public - iupui,,1,,,,
1575,top uc,,1,,,,
1576,u of texas,,1,,,,
1577,criminal law,,,,,,
1578,university of montreal,,,,,,
1579,t1 chicago,,1,,,,
1580,tier 1 midwest masters,,,,,,
1581,top 50 ug,1,1,,,,
1582,large private research,,,,,,
1583,fairfield university,,1,,,,
1584,uncc,,1,,,,
1585,abilene christian university,,1,,,,
1586,university of detroit mercy,,1,,,,
1587,hodges university,,1,,,,
1588,state liberal arts,,,,,,
1589,suny oneonta,,1,,,,
1590,top 20 natl,1,1,,,,
1591,sarah lawrence college,,1,,,,
1592,public-state,,,,,,
1593,commuter,,,,,,
1594,smaller private,,,,,,
1595,univ. of new mexico,,1,,,,
1596,tier 1 baccalaureate,,,,,,
1597,private jesuit schoo,,,,,,
1598,private - top tier,,,,,,
1599,tesc,,1,,,,
1600,top 3 b-school,1,1,,,,
1601,dartmouth college,,1,,,,
1602,university of houston victoria,,1,,,,
1603,private 4 year,,,,,,
1604,pac-10 (ucla),,1,,,,
1605,midwest public,,,,,,
1606,public 4-year,,,,,,
1607,appalachian state,,1,,,,
1608,loyola marymount,,1,,,,
1609,john carroll university,,1,,,,
1610,top 50 liberal arts,1,1,,,,
1611,north central college,,1,,,,
1612,ttt state,,,,,,
1613,columbia university in the cit,,1,,,,
1614,u of m,,1,,,,
1615,pretty bad school,,,,,,
1616,large public / u of memphis,,1,,,,
1617,uk,,,,,,
1618,mid sized private,,,,,,
1619,tennessee state university,,1,,,,
1620,florida,,1,,,,
1621,urban public,,,,,,
1622,top 2 lac,1,1,,,,
1623,liberal arts (top tier),,,,,,
1624,clarkson university,,1,,,,
1625,nccu,,1,,,,
1626,univ. of az,,1,,,,
1627,technical school,,,,,,
1628,u of florida,,1,,,,
1629,unc -wilmington,,1,,,,
1630,western ct state univ.,,1,,,,
1631,top california public,,1,,,,
1632,public ttt,,,,,,
1633,public/private hybri,,,,,,
1634,northern kentucky university,,1,,,,
1635,4 year public university,,,,,,
1636,ivy transfer from community co,1,1,,,,
1637,u. of m.,,1,,,,
1638,graduate school,,,,,,
1639,top 10 canadian,,,,,,
1640,brandeis university,,1,,,,
1641,luther college,,1,,,,
1642,four yr,,,,,,
1643,uc - public,,1,,,,
1644,private small colleg,,,,,,
1645,uofsc,,1,,,,
1646,john jay college,,1,,,,
1647,private hbcu,,,,,,1
1648,suny stony brook,,1,,,,
1649,small private suburban,,,,,,
1650,public school,,,,,,
1651,large state public,,,,,,
1652,tier iii public university,,,,,,
1653,university of ca,,1,,,,
1654,columbia college chicago,,1,,,,
1655,"state, liberal arts",,,,,,
1656,u.t.,,1,,,,
1657,oxford,,,,,,
1658,top 10 regional ne,1,1,,,,
1659,large southern public flagship,,,,,,
1660,la salle university,,1,,,,
1661,top 30 undergrad,1,1,,,,
1662,edinboro university of pa,,1,,,,
1663,northern arizona unviersity,,1,,,,
1664,elite,,,,,,
1665,indiana,,1,,,,
1666,"ttt, but i loved it.",,,,,,
1667,small private catholic univers,,,,,,
1668,northeast lac,,,,,,
1669,private christian college,,,,,,
1670,large urban,,,,,,
1671,pivate,,,,,,
1672,t-25,1,1,,,,
1673,usnwr top 20,1,1,,,,
1674,massive state school,,,,,,
1675,albion,,1,,,,
1676,4 year hbcu,,,,,,1
1677,nc state school,,1,,,,
1678,uafs,,1,,,,
1679,kean university,,1,,,,
1680,us naval academy,,1,,,,
1681,barry university,,1,,,,
1682,bs,,,,,,
1683,savannah state university,,1,,,,
1684,suny geneseo,,1,,,,
1685,au,,1,,,,
1686,iowa,,1,,,,
1687,private engineering,,,,,,
1688,columbia (ivy),,1,,,,
1689,american u,,1,,,,
1690,marshall university,,1,,,,
1691,"university of nevada, las vega",,1,,,,
1692,public degree factory,,,,,,
1693,public (non-ranked),,,,,,
1694,tech,,,,,,
1695,thomas m. cooley,,1,,,,
1696,cornell (a&s),,1,,,,
1697,top national,,,,,,
1698,grambling state,,,,,,
1699,the top public!,,,,,,
1700,davidson college,,1,,,,
1701,pac 10,,,,1,,
1702,"public, sec",,,,,,
1703,universitas pelita harapan,,,,,,
1704,suburban,,,,,,
1705,stanford university,,1,,,,
1706,wright state university,,1,,,,
1707,small insignificant private,,,,,,
1708,top 25 - usc,,1,,,,
1709,private tier 1,,,,,,
1710,biola university,,1,,,,
1711,cal state university,,1,,,,
1712,muhlenberg college,,1,,,,
1713,park university,,1,,,,
1714,big private,,,,,,
1715,adrian college,,1,,,,
1716,large southern state,,,,,,
1717,large unviersity,,,,,,
1718,north park university,,1,,,,
1719,university of illinois-urbana,,1,,,,
1720,usnwr top 15,1,1,,,,
1721,private (east coast),,,,,,
1722,public(top 50),1,1,,,,
1723,nittany lion,,1,,,,
1724,public top 40,1,1,,,,
1725,"public, not ranked",,,,,,
1726,sjsu,,1,,,,
1727,"liberal arts, tiny.",,,,,,
1728,"tiny, not very well",,,,,,
1729,semi-private,,,,,,
1730,regional public,,,,,,
1731,private univ.,,,,,,
1732,major state univervsity,,,,,,
1733,"top 10, non-ivy",1,1,,,,
1734,"\""little ivies\""",,,,,,
1735,large puplic,,,,,,
1736,top 5 private univ.,1,1,,,,
1737,baruch college,,1,,,,
1738,southern private,,,,,,
1739,connecticut college,,1,,,,
1740,university of texas permian ba,,1,,,,
1741,top-15 private,1,1,,,,
1742,medium sized private,,,,,,
1743,large public (uc),,1,,,,
1744,loyola,,1,,,,
1745,small liberal arts c,,,,,,
1746,top engineering school,,,,,,
1747,large state universi,,,,,,
1748,colorado college,,1,,,,
1749,women\'s liberal arts college,,,,,,
1750,public univ.,,,,,,
1751,top-tier lac,,,,,,
1752,"small, all-male",,,,,,
1753,wash u stl,,1,,,,
1754,fairfield u,,1,,,,
1755,puiblic,,,,,,
1756,non-ivy,,,,,,
1757,top 25 public school,1,1,,,,
1758,maryville college,,1,,,,
1759,t10 liberal arts,1,1,,,,
1760,public ivy (?),,,,,,
1761,t15 (non-ivy),1,1,,,,
1762,east tennessee state universit,,1,,,,
1763,columbia university,,1,,,,
1764,emory university,,1,,,,
1765,"public, top 25 (u. m",1,1,,,,
1766,university of pennsylvania,,1,,,,
1767,millikin university,,1,,,,
1768,large public/top 10,1,1,,,,
1769,top public universit,,,,,,
1770,public 4 year university,,,,,,
1771,private/jesuit,,,,,,
1772,top lib arts,,,,,,
1773,"top 40, private",1,1,,,,
1774,small/medium private,,,,,,
1775,private - top 50,1,1,,,,
1776,state - big ten,,,1,,,
1777,iu,,1,,,,
1778,large private - bost,,,,,,
1779,san diego state university,,1,,,,
1780,t15 private,1,1,,,,
1781,now part of st. john,,1,,,,
1782,hard knocks,,,,,,
1783,mid-tier liberal arts,,,,,,
1784,florida public,,,,,,
1785,grad school--private,,,,,,
1786,international institution,,,,,,
1787,huge public university,,,,,,
1788,t14 private,1,1,,,,
1789,state university of new york (,,1,,,,
1790,university of rochester,,1,,,,
1791,private/christian,,,,,,
1792,hbcu/ state univ,,,,,,1
1793,southern university and a&m co,,1,,,,
1794,top 50 engineering,1,1,,,,
1795,st. mary's university,,1,,,,
1796,adelphi university,,1,,,,
1797,mid size state,,,,,,
1798,umn,,1,,,,
1799,slac,,,,,,
1800,mich,,1,,,,
1801,top 100 undergrad,1,1,,,,
1802,top 35 private,1,1,,,,
1803,sierra nevada college,,1,,,,
1804,top west coast private,,,,,,
1805,university of la verne,,1,,,,
1806,research uni,,,,,,
1807,educational,,,,,,
1808,top 3 ivy,1,1,,,,
1809,private-lutheran,,,,,,
1810,suny- stony brook,,1,,,,
1811,tttt - online - never heard of,,,,,,
1812,umass-amherst,,1,,,,
1813,large/public/texas,,1,,,,
1814,liberal arts - ivy,1,1,,,,
1815,wabash college,,1,,,,
1816,little three,,,,,,
1817,public top 100,1,1,,,,
1818,georgia state university,,1,,,,
1819,"private, christian",,,,,,
