,College Name or Type,guess,name,big10,pac,sisters,hbcu
223,4-year university,,,,,,
224,top100,1,1,,,,
225,unlv,,1,,,,
226,syracuse university,,1,,,,
227,university of texas - dallas,,1,,,,
228,univ of maryland,,1,,,,
229,spelman college,,1,,,,
230,small public liberal arts,,,,,,
231,large public- sec,,,,,,
232,university of calgary,,,,,,
233,aau university,,,,,,
234,boston university,,1,,,,
235,usf,,1,,,,
236,liberal arts private,,,,,,
237,marquette university,,,,,,
238,private - upenn,,1,,,,
239,private - liberal ar,,,,,,
240,rosemont college,,1,,,,
241,hanover college,,1,,,,
242,private liberal arts college,,,,,,
243,mid-size private,,,,,,
244,cal poly pomona,,1,,,,
245,nyu,,1,,,,
246,purdue university,,1,,,,
247,private top 20,1,1,,,,
248,tulane university,,1,,,,
249,hbcu/private,,,,,,1
250,texas a&m university college s,,1,,,,
251,large public school,,,,,,
252,liberal arts-new college of fl,,1,,,,
253,ohio state,,1,,,,
254,notre dame,,1,,,,
255,good,,,,,,
256,state u./top masters,,,,,,
257,carson-newman university,,1,,,,
258,ulv,,1,,,,
259,duke u.,,1,,,,
260,private regional,,,,,,
261,university of rhode island,,1,,,,
262,canadian,,,,,,
263,national,,,,,,
264,"public, research",,,,,,
265,brigham young university,,1,,,,
266,baylor university,,1,,,,
267,top 50 regional,1,1,,,,
268,large public institution,,,,,,
269,mid level private sc,,,,,,
270,mizzou,,1,,,,
271,jesuit,,,,,,
272,hunter college,,1,,,,
273,dixie state university,,1,,,,
274,impressive,,,,,,
275,belmont university,,1,,,,
276,university of memphis,,1,,,,
277,o canada...,,,,,,
278,"private, top 10",1,1,,,,
279,boston college (top,,1,,,,
280,biggest school everrrr,,,,,,
281,top 5 public,1,1,,,,
282,undergrad,,,,,,
283,non-top private,,,,,,
284,public liberal arts,,,,,,
285,univ co at denver,,1,,,,
286,troy university,,1,,,,
287,a nyc ttt,,,,,,
288,ucsc,,1,,,,
289,top state,,,,,,
290,top regional,,,,,,
291,regional private,,,,,,
292,yale,,1,,,,
293,csuf,,1,,,,
294,unc,,1,,,,
295,"large, private",,,,,,
296,inter-american university of p,,1,,,,
297,ana g mmendez,,,,,,
298,la,,,,,,
299,lake forest college,,1,,,,
300,washington university in st. l,,1,,,,
301,"large public, state",,,,,,
302,sml. liberal arts,,,,,,
303,furman university,,1,,,,
304,california state university,,1,,,,
305,4-year,,,,,,
306,catholic/ private,,,,,,
307,"private, top 15",1,1,,,,
308,large public tier 1,,,,,,
309,csulb,,1,,,,
310,"west coast, well-known private",,1,,,,
311,big state u,,,,,,
312,non-hyp ivy,1,1,,,,
313,umbc,,1,,,,
314,public- ucf,,1,,,,
315,medium-sized public university,,,,,,
316,mid-western state university,,,,,,
317,asu,,1,,,,
318,ivy (not hyp),1,1,,,,
319,distance learning,,,,,,
320,midwestern state university,,1,,,,
321,pvt liberal arts,,,,,,
322,public ivy,,,,,,
323,none-sky,,,,,,
324,bu,,1,,,,
325,t20,1,1,,,,
326,wesleyan university,,1,,,,
327,small private university,,,,,,
328,upenn,,1,,,,
329,university of michgigan,,1,,,,
330,fsu,,1,,,,
331,good school imho :),,,,,,
332,ttt,,,,,,
333,ohio university,,1,,,,
334,washington university in st.lo,,1,,,,
335,t-25 liberal arts,1,1,,,,
336,ball state university,,1,,,,
337,big city university,,,,,,
338,uva,,1,,,,
339,private (top 20),1,1,,,,
340,large public univers,,,,,,
341,touro college,,1,,,,
342,pac-10,,,,1,,
343,ranked private midwest school,,,,,,
344,university of colorado at boul,,1,,,,
345,t10,1,1,,,,
346,state school- well known,,,,,,
347,top 50 - large public,1,1,,,,
348,small regional university,,,,,,
349,top 10 public (uc),1,1,,,,
350,university of michig,,1,,,,
351,university of texas at dallas,,1,,,,
352,top 100 public,1,1,,,,
353,university of tampa,,1,,,,
354,fordham,,1,,,,
355,-2001,,,,,,
356,law school,,,,,,
357,new york university,,1,,,,
358,ku,,1,,,,
359,small private - catholic,,,,,,
360,ivy league (penn),,1,,,,
361,lg public,,,,,,
362,private assc./ public bba,,,,,,
363,top 30 private,1,1,,,,
364,not t-99,,,,,,
365,clark atanta university,,1,,,,
366,the university of southern cal,,1,,,,
367,private - top 20,1,1,,,,
368,large top-tier public,,,,,,
369,strong public,,,,,,
370,rutgers new brunswic,,1,,,,
371,large state,,,,,,
372,big public,,,,,,
373,loyola university chicago,,1,,,,
374,"small university(8,000)",,,,,,
375,western washington,,1,,,,
376,private christian liberal arts,,,,,,
377,georgia institute of,,1,,,,
378,engineering,,,,,,
379,big 10,,,1,,,
380,medium state,,,,,,
381,small public university,,,,,,
382,"small, top liberal arts",,,,,,
383,university of florida,,1,,,,
