,acronym,full,full_select
361,uw,"University of Washington, University of Wisconsin system, University of Wisconsin‰ÛÒMadison, University of Wyoming",University of Wisconsin Madison
362,uwf,University of West Florida,University of West Florida
363,uwg,University of West Georgia,University of West Georgia
364,uwgb,University of Wisconsin‰ÛÒGreen Bay,University of Wisconsin Green Bay
365,uwm,University of Wisconsin‰ÛÒMilwaukee,University of Wisconsin Milwaukee
366,valpo,Valparaiso University,Valparaiso University
367,vandy,Vanderbilt University,Vanderbilt University
368,vcu,Virginia Commonwealth University,Virginia Commonwealth University
369,virginia tech,Virginia Polytechnic Institute and State University,Virginia Polytechnic Institute and State University
370,vmi,Virginia Military Institute,Virginia Military Institute
371,vpi,"Virginia Polytechnic Institute and State University (An abbreviation of the university official name, though not actively used by the university)",Virginia Polytechnic Institute and State University 
372,vsu,"Valdosta State University, Virginia State University",Virginia State University
373,vt,Virginia Polytechnic Institute and State University,Virginia Polytechnic Institute and State University
374,vtc,Vermont Technical College,Vermont Technical College
375,vu,"Valparaiso University, Vanderbilt University, Villanova University, Vincennes University, Vanguard University",Valparaiso University
376,w&j,Washington & Jefferson College,Washington & Jefferson College
377,w&l,Washington and Lee University,Washington and Lee University
378,w&m,The College of William & Mary,The College of William & Mary
379,wazzu,Washington State University,Washington State University
380,wc,"Wagner College, Wilmington College","Wagner College, Wilmington College"
381,wcu,Western Carolina University,Western Carolina University
382,west point,U.S. Military Academy,U.S. Military Academy
383,western,Western Washington University,Western Washington University
384,wfu,Wake Forest University,Wake Forest University
385,williams,Williams College,Williams College
386,wiu,Western Illinois University,Western Illinois University
387,wku,Western Kentucky University,Western Kentucky University
388,wmu,Western Michigan University,Western Michigan University
389,wpi,Worcester Polytechnic Institute,Worcester Polytechnic Institute
390,wsu,"Washington State University, Wichita State University, Wright State University",Washington State University
391,wtamu,West Texas A&M University,West Texas A&M University
392,wvu,West Virginia University,West Virginia University
393,wvup,West Virginia University at Parkersburg (WVU Parkersburg),West Virginia University at Parkersburg
394,wwu,Western Washington University,Western Washington University
395,xu,Xavier University (Cincinnati),Xavier University Cincinnati
396,xula,Xavier University of Louisiana,Xavier University of Louisiana
397,the y,Brigham Young University,Brigham Young University
398,ysu,Youngstown State University,Youngstown State University
399,yu,Yeshiva University,Yeshiva University
400,a&m-cc,Texas A&M University‰ÛÒCorpus Christi,Texas A&M University Corpus Christi
401,cal u,California University of Pennsylvania,California University of Pennsylvania
402,chatt,University of Tennessee at Chattanooga,University of Tennessee at Chattanooga
403,gc&su,Georgia College & State University,Georgia College & State University
404,gw,"George Washington University, Gardner Webb University","George Washington University, Gardner Webb University"
405,iu,Indiana University Bloomington,Indiana University Bloomington
406,mhc,Mount Holyoke College,Mount Holyoke College
407,new college,New College of Florida,New College of Florida
408,siu,Southern Illinois University Carbondale,Southern Illinois University Carbondale
409,stanislaus state,"California State University, Stanislaus","California State University, Stanislaus"
410,uchicago,University of Chicago,University of Chicago
411,ui,"University of Idaho, University of Illinois at Urbana-Champaign, University of Iowa",University of Idaho
412,ur,"University of Richmond, University of Rochester","University of Richmond, University of Rochester"
413,wash u,Washington University in St. Louis,Washington University in St. Louis
414,a&m-corpus christi,Texas A&M University‰ÛÒCorpus Christi,Texas A&M University Corpus Christi
415,cup,California University of Pennsylvania,California University of Pennsylvania
416,chattanooga,University of Tennessee at Chattanooga,University of Tennessee at Chattanooga
417,gcsu,Georgia College & State University,Georgia College & State University
418,gwu,"George Washington University, Gardner Webb University",George Washington University
419,iub,Indiana University Bloomington,Indiana University Bloomington
420,moho,Mount Holyoke College,Mount Holyoke College
421,ncf,New College of Florida,New College of Florida
422,siuc,Southern Illinois University Carbondale,Southern Illinois University Carbondale
423,stan state,"California State University, Stanislaus","California State University, Stanislaus"
424,u of c,University of Chicago,University of Chicago
425,u of i,"University of Idaho, University of Illinois at Urbana-Champaign, University of Iowa",University of illinois urbana champaign
426,u of r,"University of Richmond, University of Rochester",University of Rochester
427,wustl,Washington University in St. Louis,Washington University in St. Louis
