,Major element,major guess,social sciences,arts & humanities,business & management,natural sciences,engineering,health professions,other
181,ba in international,international studies,,,,,,,
182,pol science,political science,,,,,,,
183,poly sci,political science,,,,,,,
184,environmental studies,environmental studies,,,,1,,,
185,urban planning,urban planning,,,,,,,
186,doubled,,,,,,,,
187,communicati,communications,1,,,,,,
188,e,,,,,,,,
189,interdisciplinary st,interdisciplinary studies,,,,,,,
190,paralegal studies,paralegal studies,,,,,,,
191,dual,,,,,,,,
192,science or eng,science,,,,1,,,
193,biology  philosophy,biology,,,,1,,,
194,religio,religion studies,1,,,,,,
195,fr,French,1,,,,,,
196,rel,religion studies,1,,,,,,
197,stud,,,,,,,,
198,a,,,,,,,,
199,general business,business,,,1,,,,
200,politica,political science,,,,,,,
201,arts,art,1,,,,,,
202,applied sciences,applied science,,,,1,,,
203,iaff,,,,,,,,
204,policy analysis,policy studies,,,,,,,
205,american government,political science,,,,,,,
206,industrial,industrial engineering,,,,,1,,
207,operations engi,operation engineering,,,,,1,,
208,not science,,,,,,,,
209,yes,,,,,,,,
210,las,liberal arts,1,,,,,,
211,telecommunications,communications,1,,,,,,
212,building science,industrial engineering,,,,,1,,
213,double major,,,,,,,,
214,honors,,,,,,,,
215,business admin,business administration,,,1,,,,
216,sociolinguistics,linguistics,1,,,,,,
217,l relations,labor relations,,,,,,,
218,sociology law,sociology,,,,,,,
219,world affairs,international studies,,,,,,,
220,minor in,,,,,,,,
221,assc,,,,,,,,
222,of engineering,engineering,,,,,1,,
223,bba,business administration,,,1,,,,
224,media studies,media studies,1,,,,,,
225,music industry,music ,1,,,,,,
226,premed,pre medicine,,,,,,1,
227,h,,,,,,,,
228,gov,political science,,,,,,,
229,music business,music business,,,1,,,,
230,cis,computer science,,,,,1,,
231,classical civilization,classical civilization,1,,,,,,
232,liberal art degree,liberal arts,1,,,,,,
233,aviation,aviation,,,,,1,,
234,internatinoal affairs,international studies,,,,,,,
235,philosophy politics economics,PPE,,,,,,,
236,film,film,1,,,,,,
237,cognitive science,cognitive science,,,,1,,,
238,bs,,,,,,,,
239,acctg,accounting,,,1,,,,
240,ms,,,,,,,,
241,tax,accounting,,,1,,,,
242,communications studies,communications,1,,,,,,
243,applied psychology,psychology,,,,,,,
244,drama,drama,1,,,,,,
245,communication arts,communications,1,,,,,,
246,psch,psychology,,,,,,,
247,'l aff,international studies,,,,,,,
248,entertainment,entertainment,,,,,,,
249,american studies,American studies,,,,,,,
250,language,language,1,,,,,,
251,political sci,political science,,,,,,,
252,school of public health,public health,,,,,,1,
253,medical humanities,medical humanities,,,,,,1,
254,mass communications,communications,1,,,,,,
255,mass communication,communications,1,,,,,,
256,sociology of science,sociology,,,,,,,
257,hist,history,1,,,,,,
258,lacs,,,,,,,,
259,global studies,international studies,,,,,,,
260,pol s,political science,,,,,,,
261,payne,,,,,,,,
262,public service,public policy,,,,,,,
263,rhetoric,rhetoric,1,,,,,,
264,public relations,public relations,,,,,,,
265,labor studies,labor studies,,,,,,,
266,consulting,consulting,,,1,,,,
267,applied behavioral science,behavioral science,,,,,,,
268,economi,economics,,,1,,,,
269,international politics,International Politics,,,,,,,
270,business manage,business management,,,1,,,,
271,secondary ed,secondary education,,,,,,,
272,med,medicine,,,,,,1,
273,history mi,history,1,,,,,,
274,intl affairs,international studies,,,,,,,
275,engr,engineering,,,,,1,,
276,business finance,finance,,,1,,,,
277,bus mgmt,business management,,,1,,,,
278,minor in cr,criminology,,,,,,,
279,international political econom,Political Economics,,,,,,,
280,english lit,English literature,1,,,,,,
281,public law,law,,,,,,,
282,gover,political science,,,,,,,
283,studio production,studio production,1,,,,,,
284,psyc,psychology,,,,,,,
285,int'l studie,international studies,,,,,,,
286,f,,,,,,,,
287,mu,music ,1,,,,,,
288,political sc,political science,,,,,,,
289,political studies,policy studies,,,,,,,
290,ph,philosophy,1,,,,,,
291,ele,,,,,,,,
292,national,,,,,,,,
293,univ,,,,,,,,
294,jus,,,,,,,,
295,literatu,literature,1,,,,,,
296,bme,biomedical engineering,,,,,1,,
297,ee,electronic engineering,,,,,1,,
298,justice stu,criminology,,,,,,,
299,global business,international business,,,1,,,,
300,double,,,,,,,,
301,theatre arts,theatre,1,,,,,,
302,comparative lit,literature,1,,,,,,
303,male,,,,,,,,
304,modern jewish studies,Jewish studies,,,,,,,
305,music performance,music ,1,,,,,,
306,neuroscience,neuroscience,,,,1,,,
307,creative writing,creative writing,1,,,,,,
308,psc,political science,,,,,,,
309,legal studie,law,,,,,,,
310,labor r,labor relations,,,,,,,
311,poly,policy studies,,,,,,,
312,capp,,,,,,,,
313,'l studies,international studies,,,,,,,
314,hibd political econo,Political Economics,,,,,,,
315,sociology minor,sociology,,,,,,,
316,gender,gender studies,,,,,,,
317,women's,gender studies,,,,,,,
318,business adm,business administration,,,1,,,,
319,afro,,,,,,,,
320,ame,audio and musical engineering,,,,,1,,
321,philo,philosophy,1,,,,,,
322,criminol,criminology,,,,,,,
323,it,information technology,,,,,1,,
324,music education,music,1,,,,,,
325,graphic design,graphic design,1,,,,,,
326,foreign service,international studies,,,,,,,
327,business mgt,business management,,,1,,,,
328,parale,paralegal studies,,,,,,,
329,goverment,government,,,,,,,
330,ets,,,,,,,,
331,general studies,general studies,1,,,,,,
332,sp,Spanish,1,,,,,,
333,pysch,psychology,,,,,,,
334,english literature,English literature,1,,,,,,
335,counseling psychology,psychology,,,,,,,
336,double majored in social scien,social science,,,,,,,
337,studies,,,,,,,,
338,visual arts,visual arts,1,,,,,,
339,general sci,science,,,,1,,,
340,construction,construction,,,,,1,,
341,trust management,management,,,1,,,,
342,sport administration,sports management,,,1,,,,
343,double econ,economics,,,1,,,,
344,hi,,,,,,,,
345,asian stud,Asian studies,,,,,,,
346,history minor,history,1,,,,,,
347,chemical,chemical engineering,,,,,1,,
348,glass art,art,1,,,,,,
349,bfa,fine arts,1,,,,,,
350,commun,communications,1,,,,,,
351,ps,political science,,,,,,,
352,computer,computer science,,,,,1,,
353,lsj,"law, societies and justice",,,,,,,
354,psci,political science,,,,,,,
355,american history,American history,1,,,,,,
356,education pol,education policy,,,,,,,
357,biomedical engineering,biomedical engineering,,,,,1,,
358,la,,,,,,,,
359,urban studies,urban studies,,,,,,,
360,public m,public management,,,,,,,
361,political theory,political theory,,,,,,,
362,bs in commerce,commerce,,,1,,,,
363,arts management,arts management,,,1,,,,
364,master of accounting,accounting,,,1,,,,
365,health promotion,health studies,,,,,,1,
366,nonpro,nonprofit ,,,1,,,,
367,forensic psychology,psychology,,,,,,,
368,structural engineer,structural engineer,,,,,1,,
369,legal history,legal history,,,,,,,
370,org,,,,,,,,
371,communica,communications,1,,,,,,
372,kinesiology,kinesiology,,,,,,1,
373,english govt,English,1,,,,,,
374,public accounting,accounting,,,1,,,,
375,c,,,,,,,,
376,techno,technology,,,,,1,,
377,east asian studies,east Asian studies,,,,,,,
378,human biology,biology,,,,1,,,
379,comparative literatur,comparative literature,1,,,,,,
380,conflict st,conflict studies,,,,,,,
381,management science,management,,,1,,,,
382,mech engineering,mechanical engineering,,,,,1,,
383,neurobiology,biology,,,,1,,,
384,physionology,physiology,,,,,,1,
385,business honors,business,,,1,,,,
386,humanties,humanities,1,,,,,,
387,self,,,,,,,,
388,culture,culture studies,,,,,,,
389,social sciences govt,social science,,,,,,,
390,urban plannin,urban studies,,,,,,,
391,middle east studies,middle eastern studies,,,,,,,
392,social welfare,social science,,,,,,,
393,phi,philosophy,1,,,,,,
394,test,,,,,,,,
395,mgmnt,management,,,1,,,,
396,bs math,math,,,,1,,,
397,cs concentration,computer science,,,,,1,,
398,earth sciences,earth science,,,,1,,,
399,int studies,international studies,,,,,,,
400,mba,business administration,,,1,,,,
401,dual english,English,1,,,,,,
402,league baseball,,,,,,,,
403,administratin of justice,justice administration,,,,,,,
404,letters,,,,,,,,
405,individualized,,,,,,,,
406,anthro,anthropology ,,,,,,,
407,econo,economics,,,1,,,,
408,const,construction,,,,,1,,
409,humanities double,humanities,1,,,,,,
410,mass comm,communications,1,,,,,,
411,business a,business administration,,,1,,,,
412,arabic,Arabic,1,,,,,,
413,strategi,strategic planning,,,1,,,,
414,pl sc,political science,,,,,,,
415,sport mana,sports management,,,1,,,,
416,fin,finance,,,1,,,,
417,physiology,physiology,,,,,,1,
418,neurobi,biology,,,,1,,,
419,mech engr,mechanical engineering,,,,,1,,
420,gov major german min,government,,,,,,,
421,information systems,information technology,,,,,1,,
422,in las,liberal arts,1,,,,,,
423,human resource management,human resource management,,,1,,,,
424,childhood studies,childhood studies,,,,,,,
425,ba,business administration,,,1,,,,
426,world business,international business,,,1,,,,
427,computer sci,computer science,,,,,1,,
428,his,history,1,,,,,,
429,partying,,,,,,,,
430,polsci,political science,,,,,,,
431,ursa,,,,,,,,
432,'l politics,International Politics,,,,,,,
433,english writing,English,1,,,,,,
434,mana,management,,,1,,,,
435,human resources,human resource  ,,,1,,,,
436,romance languages,language,1,,,,,,
437,languages,language,1,,,,,,
438,community health education,health education,,,,,,1,
439,criminal jus,criminology,,,,,,,
440,minor in asian amer,Asian American studies,,,,,,,
441,english  minor,English,1,,,,,,
442,internati,international studies,,,,,,,
443,aerospace engineering,aerospace engineering,,,,,1,,
444,international developement,international studies,,,,,,,
445,triple,,,,,,,,
446,eng lit,English literature,1,,,,,,
447,food science,food science,,,,,,1,
448,'s s,,,,,,,,
449,mech,mechanical engineering,,,,,1,,
450,materials engineering,materials engineering,,,,,1,,
451,legal assistant studies,legal assistant studies,,,,,,,
452,theater,theatre,1,,,,,,
453,individualized study,,,,,,,,
454,occupational education,occupational education,,,,,,,
455,administration of justice,justice administration,,,,,,,
456,phl,philosophy,1,,,,,,
457,pre law,law,,,,,,,
458,so,,,,,,,,
459,based hr,human resource,,,1,,,,
460,ilr,industrial labor relations,,,,,,,
461,s st,,,,,,,,
462,mslis,library and information sciences,,,,,,,
463,interior merch,,,,,,,,
464,ising,,,,,,,,
465,bioengineering,bioengineering,,,,,1,,
466,paralegal,paralegal studies,,,,,,,
467,re,,,,,,,,
468,bla,liberal arts,1,,,,,,
469,ecology,ecology,,,,1,,,
470,sports administratio,sports administration,,,1,,,,
471,mass media,media studies,1,,,,,,
472,forensic sc,forensic science,,,,1,,,
473,legal stud,legal studies,,,,,,,
474,industrial labor rel,industrial labor relations,,,1,,,,
475,urban studi,urban studies,,,,,,,
476,media arts,media studies,1,,,,,,
477,then some,,,,,,,,
478,u,,,,,,,,
479,busines admi,business administration,,,1,,,,
480,political communicat,Political Communication,,,,,,,
481,ec,,,,,,,,
482,molecular,molecular biology,,,,1,,,
483,cellular biology,cellular biology,,,,1,,,
484,art,art,1,,,,,,
485,in the humanities,humanities,1,,,,,,
486,dipped ba,business administration,,,1,,,,
487,sport mgt,sports management,,,1,,,,
488,information tech,information technology,,,,,1,,
489,gov't,government,,,,,,,
490,human communication,communications,1,,,,,,
491,latin american,Latin American studies,,,,,,,
492,inte,,,,,,,,
493,wizardry,,,,,,,,
494,sorcery,,,,,,,,
495,comm studies,communications,1,,,,,,
496,globa,international studies,,,,,,,
497,international,international studies,,,,,,,
498,intercultura,intercultural studies,,,,,,,
499,econimics,economics,,,1,,,,
500,social science major,social science,,,,,,,
501,hum,humanities,1,,,,,,
502,internat,international studies,,,,,,,
503,cog sci,cognitive science,,,,1,,,
504,public health sciences,public health,,,,,,1,
505,behavioral science,behavioral science,,,,,,,
506,stem,STEM,,,,,1,,
507,legal,legal studies,,,,,,,
508,business administ,business administration,,,1,,,,
509,interdisciplinary de,,,,,,,,
510,african stuides,African studies,,,,,,,
511,high,,,,,,,,
512,literat,literature,1,,,,,,
513,college scholars,,,,,,,,
514,dance,dance,1,,,,,,
515,degree,,,,,,,,
516,biotechnology,biotechnology,,,,1,,,
517,violence,,,,,,,,
518,conf,conflict studies,,,,,,,
519,constitut,,,,,,,,
520,genetics,genetics,,,,1,,,
521,video,film,1,,,,,,
522,english li,English literature,1,,,,,,
523,'l rel,international relations,,,,,,,
524,hrimd,,,,,,,,
525,history spanish,history,1,,,,,,
526,political philosophy,Philosophy,1,,,,,,
527,operations research,operation research,,,1,,,,
528,inform,information technology,,,,,1,,
529,planning,,,,,,,,
530,info technology,information technology,,,,,1,,
531,intl studies,international studies,,,,,,,
532,applied mathematics,mathematics,,,,1,,,
533,professional security studies,security studies,,,,,,,
534,gender studies,gender studies,,,,,,,
535,molecular bio,molecular biology,,,,1,,,
536,studio art,art,1,,,,,,
537,internatio,international studies,,,,,,,
538,global stuides,international studies,,,,,,,
539,pol scienc,political science,,,,,,,
540,feminist conservatis,gender studies,,,,,,,
541,interdisciplanary,interdisciplinary studies,,,,,,,
542,forensic scienc,forensic science,,,,1,,,
543,software engineering,software engineering,,,,,1,,
544,dual science degree,science,,,,1,,,
545,marketi,marketing,,,1,,,,
546,ppe,philosophy politics economics,,,,,,,
547,agbusiness,agricultural business,,,1,,,,
548,russian east europ,russian,1,,,,,,
549,bus admin,business administration,,,1,,,,
550,environmental policy,environmental policy studies,,,,,,,
551,ccjs,criminology,,,,,,,
552,computer engineering technolog,computer engineering,,,,,1,,
553,dual degree,,,,,,,,
554,env sci,environmental science,,,,1,,,
555,development studi,development studies,,,,,,,
556,elem ed,elementary education,,,,,,,
557,special ed,special education,,,,,,,
558,mcb,molecular biology,,,,1,,,
559,n,,,,,,,,
560,double poli sci,political science,,,,,,,
561,ea stud,east Asian studies,,,,,,,
562,sports business,recreation management,,,1,,,,
563,minor,,,,,,,,
564,law in intellectual property,law,,,,,,,
565,international relations with c,international relations,,,,,,,
566,political science minor in psy,political science,,,,,,,
567,marine biology,marine biology,,,,1,,,
568,management informati,management,,,1,,,,
569,liberal studies with,liberal arts,1,,,,,,
570,preaching,,,,,,,,
571,hospitality,hospitality management,,,1,,,,
572,fiction writing,creative writing,1,,,,,,
573,sports marketing,marketing,,,1,,,,
574,mgt,management,,,1,,,,
575,general busine,business,,,1,,,,
576,evolutionary bio,biology,,,,1,,,
577,t,,,,,,,,
578,doub,,,,,,,,
579,japanese language,Japanese,1,,,,,,
580,psy,psychology,,,,,,,
581,liberal a,liberal arts,1,,,,,,
582,public university,,,,,,,,
583,well,,,,,,,,
584,it aint poli sci,,,,,,,,
585,mi,,,,,,,,
586,radio,radio broadcasting,1,,,,,,
587,television,television broadcasting,1,,,,,,
588,fire science,science,,,,1,,,
589,cathol,catholic studies,1,,,,,,
590,cr,,,,,,,,
591,business majors,business,,,1,,,,
592,strategic communications,communications,1,,,,,,
593,community health,health ,,,,,,1,
594,education sc,education,,,,,,,
595,labor,labor studies,,,,,,,
596,ids,international development studies,,,,,,,
597,gen,general studies,1,,,,,,
598,russian slav,Russian Slavic,1,,,,,,
599,in finance,finance,,,1,,,,
600,microbiology,biology,,,,1,,,
601,tourism management,tourism management,,,1,,,,
602,business admn,business administration,,,1,,,,
603,operat,operation research,,,1,,,,
604,statis,statistics,,,1,,,,
605,crunkness,,,,,,,,
606,multidiscipline,,,,,,,,
607,esoteric,,,,,,,,
608,international af,international affairs,,,,,,,
609,elect eng,electrical engineering,,,,,1,,
610,constitutio,,,,,,,,
611,cognitive sc,cognitive science,,,,1,,,
612,public affairs,public affairs,,,,,,,
613,judaic s,Judaic studies,1,,,,,,
614,political science religious st,political science,,,,,,,
615,comparative literature,comparative literature,1,,,,,,
616,environmental biology,environmental biology,,,,1,,,
617,ag,agricultural science,,,,1,,,
618,bsme,mechanical engineering,,,,,1,,
619,psycholo,psychology,,,,,,,
620,seb,,,,,,,,
621,english linguistics,linguistics,1,,,,,,
622,cognitive,cognitive science,,,,1,,,
623,crim justicce,criminology,,,,,,,
624,philoso,Philosophy,1,,,,,,
625,publc administration,public administration,,,,,,,
626,bm,business management,,,1,,,,
627,int'l studies,international studies,,,,,,,
628,cse,computer science,,,,,1,,
629,managment science,management,,,1,,,,
630,recreation,recreation management,,,1,,,,
631,sports,physical science,,,,,,1,
632,touris,tourism management,,,1,,,,
633,bl,law,,,,,,,
634,french lit,French literature,1,,,,,,
635,philos,Philosophy,1,,,,,,
636,environmental studie,environmental studies,,,,1,,,
637,span,Spanish,1,,,,,,
638,law management,management,,,1,,,,
639,humanities major,humanities,1,,,,,,
640,'l relations,international relations,,,,,,,
641,a humanities major,humanities,1,,,,,,
642,portugue,Portuguese,1,,,,,,
643,internation,international studies,,,,,,,
644,social,social science,,,,,,,
645,double humanities,humanities,1,,,,,,
646,dual ba,business administration,,,1,,,,
647,poly sc,political science,,,,,,,
648,business ad,business administration,,,1,,,,
649,ba economics,economics,,,1,,,,
650,bj,journalism,1,,,,,,
651,telecom,telecommunication,1,,,,,,
652,new,,,,,,,,
653,program of liberal studies,liberal arts,1,,,,,,
654,politi,political science,,,,,,,
655,international bus,international business,,,1,,,,
656,mang,management,,,1,,,,
657,labor relations,labor relations,,,,,,,
658,southern studies,southern studies,,,,,,,
659,emergency management,emergency management,,,,,,,
660,buisness,business,,,1,,,,
661,information systems developmen,information technology,,,,,1,,
662,l,,,,,,,,
663,skiing,,,,,,,,
664,aem,economics,,,1,,,,
665,commerce,commerce,,,1,,,,
666,management inform,management,,,1,,,,
667,criminal ju,criminology,,,,,,,
668,polysci,political science,,,,,,,
669,administration of cr,criminology,,,,,,,
670,cinema,film,1,,,,,,
671,two social sciences,social science,,,,,,,
672,bsba,business administration,,,1,,,,
673,woody,,,,,,,,
674,environment,environmental science,,,,1,,,
675,classical languages,language,1,,,,,,
676,neuroscie,neuroscience,,,,1,,,
677,legal studi,legal studies,,,,,,,
678,philosophy ba,Philosophy,1,,,,,,
679,ma,management,,,1,,,,
680,naval architecture,naval architecture,,,,,1,,
681,aero engineering,aerospace engineering,,,,,1,,
682,asian,Asian studies,,,,,,,
683,evolutionary biolo,biology,,,,1,,,
684,american st,American studies,,,,,,,
685,double liberal arts,liberal arts,1,,,,,,
686,env science,environmental science,,,,1,,,
687,sales management,management,,,1,,,,
688,poli sci ug,political science,,,,,,,
689,master degree,,,,,,,,
690,health,health ,,,,,,1,
691,human sciences,human science,,,,,,1,
692,interior design,interior design,1,,,,,,
693,hrma,human resource management,,,1,,,,
694,leadership,leadership,,,1,,,,
695,managem,management,,,1,,,,
696,lsa,liberal arts,1,,,,,,
697,relations,relations ,,,,,,,
698,social behavior,social science,,,,,,,
699,legal science,legal studies,,,,,,,
700,hdfs,human development and family studies,,,,,,,
701,cnj,,,,,,,,
702,accountancy,accounting,,,1,,,,
703,lib,liberal arts,1,,,,,,
704,inconvenience,,,,,,,,
705,same old,,,,,,,,
706,spa,,,,,,,,
707,hard science,science,,,,1,,,
708,sleek,,,,,,,,
709,nomics,economics,,,1,,,,
710,music engineering,music,1,,,,,,
711,international affairs economic,economics,,,1,,,,
712,social scienc,social science,,,,,,,
713,general management,management,,,1,,,,
714,double major in finance,finance,,,1,,,,
715,business mgmt,business administration,,,1,,,,
716,urban,urban planning,,,,,,,
717,regional sciences,regional science,,,,,,,
718,music industr,music,1,,,,,,
719,business studie,business,,,1,,,,
720,ish,,,,,,,,
721,american literature,literature,1,,,,,,
722,buad,business administration,,,1,,,,
723,mar,religion studies,1,,,,,,
724,business administr,business administration,,,1,,,,
725,ees,environmental science,,,,1,,,
726,jazz studies,music,1,,,,,,
727,construction science,construction,,,,,1,,
728,dual mjr,,,,,,,,
729,media,media,1,,,,,,
730,fine,fine arts,1,,,,,,
731,pubpol,public policy,,,,,,,
732,biology ms,biology,,,,1,,,
733,agronomy,agronomy,,,,1,,,
734,spanish literature,Spanish,1,,,,,,
735,computer inform,computer engineering,,,,,1,,
736,agricultural science,agricultural science,,,,1,,,
737,public rela,public relations,,,,,,,
738,multi,,,,,,,,
739,cultural studi,cultural studies,,,,,,,
740,ed,education,,,,,,,
741,computer s,computer science,,,,,1,,
742,english honors,English ,1,,,,,,
743,information studies,information studies,,,,,,,
744,modern jewish stud,Jewish studies,,,,,,,
745,translation,translation,1,,,,,,
746,paw,,,,,,,,
747,business concentration,business,,,1,,,,
748,global affairs,international studies,,,,,,,
749,mass communicatio,communications,1,,,,,,
750,german studi,German studies,,,,,,,
751,fisheries,fisheries,,,,1,,,
752,wildlife sciences,wildlife science,,,,1,,,
753,comp lit,literature,1,,,,,,
754,euro studi,European studies,,,,,,,
755,cinematic arts,film,1,,,,,,
756,music theatre performance,musical theatre,1,,,,,,
757,entrepreneurship,entrepreneurship,,,1,,,,
758,interdisciplinary concentratio,interdisciplinary studies,1,,,,,,
759,double major in scie,science,,,,1,,,
760,international rel,international relations,,,,,,,
761,computer eng,computer engineering,,,,,1,,
762,administration of justic,justice administration,,,,,,,
763,intern,,,,,,,,
764,jewish,Jewish studies,,,,,,,
765,healthcare admin,healthcare administration,,,,,,1,
766,paralegal s,paralegal studies,,,,,,,
767,brain,brain,,,,1,,,
768,science double,science,,,,1,,,
769,tv,,,,,,,,
770,mpa,public administration,,,,,,,
771,political comm,Political Communication,,,,,,,
772,art education,art,1,,,,,,
773,conflict studies,conflict studies,,,,,,,
774,slavi,slavic languages,1,,,,,,
775,cas,,,,,,,,
776,env studies,environmental studies,,,,,,,
777,p,,,,,,,,
778,elem,elementary education,,,,,,,
779,gender studie,gender studies,,,,,,,
780,graphic d,graphic design,1,,,,,,
781,agricultural communications an,communications,1,,,,,,
782,chinese langu,Chinese,1,,,,,,
783,regents ba,arts,1,,,,,,
784,criminal justice administratio,criminology,,,,,,,
785,german studies,German studies,,,,,,,
786,af,,,,,,,,
787,american,American studies,,,,,,,
788,social policy,policy studies,,,,,,,
789,international affai,international affairs,,,,,,,
790,political science  philosophy,political science,,,,,,,
791,compute,computer science,,,,,1,,
792,mass communicat,communications,1,,,,,,
793,industrial operations,industrial operations,,,1,,,,
794,poli science,political science,,,,,,,
795,bioinformatics,bioinformatics,,,,1,,,
796,minor legal,legal studies,,,,,,,
797,bs economics,economics,,,1,,,,
798,bs no major,science,,,,1,,,
799,double social science,social science,,,,,,,
800,tech,technology,,,,,1,,
801,women's history,gender studies,,,,,,,
802,comparative literatu,comparative literature,1,,,,,,
803,sports manage,business management,,,1,,,,
804,medicine,medicine,,,,,,1,
805,marketing management,marketing,,,1,,,,
806,us history,history,1,,,,,,
807,civil,civil engineering,,,,,1,,
808,interdisciplinary,interdisciplinary studies,1,,,,,,
809,east asian,east Asian studies,,,,,,,
810,three of them,,,,,,,,
811,interdisciplinary arts,interdisciplinary studies,1,,,,,,
812,communic,communications,1,,,,,,
813,life sciences,life science,,,,1,,,
814,international agriculture,agricultural studies,,,,1,,,
815,operations,operations,,,1,,,,
816,info mgmt,management,,,1,,,,
817,behavioral neuroscience,neuroscience,,,,1,,,
818,project management,project management,,,1,,,,
819,non,,,,,,,,
820,l studies,,,,,,,,
821,adv,,,,,,,,
822,integrative studies,integrative studies,,,,,,,
823,engin,engineering,,,,,1,,
824,polymer science,political science,,,,,,,
825,chemical engin,chemical engineering,,,,,1,,
826,materials science,materials science,,,,,1,,
827,engineer,engineering,,,,,1,,
828,islamic studies,Islamic studies,,,,,,,
829,stuff,,,,,,,,
830,crim just,criminology,,,,,,,
831,fina,finance,,,1,,,,
832,chemistry minor,chemistry,,,,1,,,
833,plan,,,,,,,,
834,hon,,,,,,,,
835,acct,accounting,,,1,,,,
836,theology minor,theology,1,,,,,,
837,elect,electrical engineering,,,,,1,,
838,managerial accounting,accounting,,,1,,,,
839,industrial labor relations,labor relations,,,,,,,
840,hospitality management,hospitality management,,,1,,,,
841,double stem,STEM,,,,,1,,
842,logistics,logistics,,,1,,,,
843,marriage,marriage,,,,,,,
844,family,family,,,,,,,
845,human dev,human development ,,,,,,,
846,medicinal chemistry,chemistry,,,,1,,,
847,applied math,math,,,,1,,,
848,legal st,legal studies,,,,,,,
849,arin,,,,,,,,
850,banking,banking,,,1,,,,
851,human development,human development,,,,,,,
852,interntl relations,international relations,,,,,,,
853,international economics,economics,,,1,,,,
854,o,,,,,,,,
855,civil eng,civil engineering,,,,,1,,
856,eep,environmental economics,,,1,,,,
857,honors political science,political science,,,,,,,
858,dbl,,,,,,,,
859,basically useless,,,,,,,,
860,interdisciplinary social scien,social science,,,,,,,
861,agricultural communications,communications,1,,,,,,
862,three of,,,,,,,,
863,em,emergency management,,,,,,,
864,japan,Japanese studies,1,,,,,,
865,policy mana,policy studies,,,,,,,
866,political type,political science,,,,,,,
867,electrical eng,electrical engineering,,,,,1,,
868,plan ii,,,,,,,,
869,actuarial science,actuarial science,,,1,,,,
870,is,,,,,,,,
871,supply chain management,supply chain management,,,1,,,,
872,magazine journalism,journalism,1,,,,,,
873,a social science,social science,,,,,,,
874,mr,,,,,,,,
875,mc,,,,,,,,
876,emglish,English ,1,,,,,,
877,jo,journalism,1,,,,,,
878,film studi,film,1,,,,,,
879,constitutional studies,constitutional studies,,,,,,,
880,technical writing,technical writing,1,,,,,,
881,publ,,,,,,,,
882,geosciences,geoscience,,,,1,,,
883,natural resources,natural resources,,,,1,,,
884,iafs,international affairs,,,,,,,
885,criminal justice with a politi,criminal justice,,,,,,,
886,mba operations,business administration,,,1,,,,
887,pr,public relations,,,,,,,
888,relig,religion studies,1,,,,,,
889,dad,,,,,,,,
890,best,,,,,,,,
891,s show,,,,,,,,
892,family law,law,,,,,,,
893,lit,literature,1,,,,,,
894,'s studies,,,,,,,,
895,digital media,digital media,1,,,,,,
896,agribusiness,agriculture business management,,,1,,,,
897,ed english,English ,1,,,,,,
898,cell biology,cellular biology,,,,1,,,
899,hummanities,humanities,1,,,,,,
900,rheto,rhetoric,1,,,,,,
901,child psychology,psychology,,,,,,,
902,business marketing,marketing,,,1,,,,
903,litera,literature,1,,,,,,
904,bsc,science,,,,1,,,
905,global business management,international business,,,1,,,,
906,organizational management,management,,,1,,,,
907,intl rel,international relations,,,,,,,
908,intnl business,international business,,,1,,,,
909,jewish studies,Jewish studies,,,,,,,
910,interdisc social sci,social science,,,,,,,
911,mech eng,mechanical engineering,,,,,1,,
912,international finance,finance,,,1,,,,
913,mark,marketing,,,1,,,,
914,business legal,business law,,,1,,,,
915,natural science,science,,,,1,,,
916,soc science,social science,,,,,,,
917,history of art,history,1,,,,,,
918,int relations,international relations,,,,,,,
919,musical theatre,musical theatre,1,,,,,,
920,social science w,social science,,,,,,,
921,concentratio,,,,,,,,
922,rel studies,religion studies,1,,,,,,
923,intl business,international business,,,1,,,,
924,hosp,hospitality management,,,1,,,,
925,industrial distribution,industrial operations,,,1,,,,
926,sports studies,business management,,,1,,,,
927,hr management,human resource management,,,1,,,,
928,sc,science,,,,1,,,
929,inavia,,,,,,,,
930,lang,language,1,,,,,,
931,geogr,geography,,,,,,,
932,ee studies,electrical engineering,,,,,1,,
933,bas econ,economics,,,1,,,,
934,ma int rlts,international relations,,,,,,,
935,asian am,Asian American studies,,,,,,,
936,english minor,English ,1,,,,,,
937,soc sci,social science,,,,,,,
938,publi,public relations,,,,,,,
939,legal studies in business,business law,,,1,,,,
940,mass media ma,media management,,,1,,,,
941,emphasis o,,,,,,,,
942,public policy administration,public policy,,,,,,,
943,echols interdisciplinary,,,,,,,,
944,sport,sports management,,,1,,,,
945,ba econ,economics,,,1,,,,
946,com,commerce,,,1,,,,
947,soci,social science,,,,,,,
948,public justice,public justice,,,,,,,
949,legal studies b,legal studies,,,,,,,
950,religious studi,religion studies,1,,,,,,
951,speech communication,communications,1,,,,,,
952,ece,early childhood education,,,,,,,
953,public,public relations,,,,,,,
954,entrepreneurial mana,management,,,1,,,,
955,hotel,hospitality management,,,1,,,,
956,restaurant m,restaurant management,,,1,,,,
957,ms elec,electrical engineering,,,,,1,,
958,general bio,biology,,,,1,,,
959,general biology,biology,,,,1,,,
960,cell,cellular biology,,,,1,,,
961,developmental biology,biology,,,,1,,,
962,marine transportation,marine transportation,,,,,1,,
963,sciency,science,,,,1,,,
964,poli sci history,political science,,,,,,,
