,Major element,major guess,social sciences,arts & humanities,business & management,natural sciences,engineering,health professions,other
2269,social justice,social justice,,,,,,,
2270,media culture,media culture,,,,,,,
2271,health admin,health administration,,,,,,1,
2272,l re,,,,,,,,
2273,sociology minor bio,sociology,,,,,,,
2274,communications minors,communications,1,,,,,,
2275,bsad,business administration,,,1,,,,
2276,pollysci,political science,,,,,,,
2277,ho,,,,,,,,
2278,computer e,computer engineering,,,,,1,,
2279,something or other,,,,,,,,
2280,env't law,environmental law,,,,,,,
2281,double english philosophy,English and philosophy,1,,,,,,
2282,app physics,physics,,,,1,,,
2283,health care administration,health care administration,,,,,,1,
2284,theor,,,,,,,,
2285,finc,finance,,,1,,,,
2286,concentr,,,,,,,,
2287,bsit,information technology,,,,,1,,
2288,intersidiplinary,interdisciplinary studies,,,,,,,
2289,cciv,classical civilization studies,1,,,,,,
2290,mod lang,modern language,1,,,,,,
2291,distinguished major,,,,,,,,
2292,deafness,deafness,,,,,,1,
2293,rehabilita,rehabilitation sciences,,,,,,1,
2294,conflict s,conflict studies,,,,,,,
2295,administration of ju,administration of justice,,,,,,,
2296,es,,,,,,,,
2297,sport mgmt,sports management,,,1,,,,
2298,criminal justice spanish,criminal justice,,,,,,,
2299,culinary art,culinary art,1,,,,,,
2300,om bs,business,,,1,,,,
2301,international diplomacy,international diplomacy,,,,,,,
2302,business adminis,business administration,,,1,,,,
2303,fashion,fashion design,1,,,,,,
2304,business mg,business management,,,1,,,,
2305,criminology law,criminology,,,,,,,
2306,speech communications,communications,1,,,,,,
2307,honors psychology,psychology,,,,,,,
2308,international marketing,marketing,,,1,,,,
2309,organizational communication,communications,1,,,,,,
2310,comp app,computer science,,,,,1,,
2311,dual gen studies,general studies,1,,,,,,
2312,econ philosophy doub,economics,,,1,,,,
2313,analytic stuff,analytics,,,1,,,,
2314,organizational behavior,organizational behavior,,,1,,,,
2315,bus mgt,business management,,,1,,,,
2316,chemi,chemical engineering,,,,,1,,
2317,energy,energy,,,,,1,,
2318,natural resource mgmt,natural resource management,,,1,,,,
2319,decline to share,,,,,,,,
2320,doube,,,,,,,,
2321,argument,,,,,,,,
2322,integrated studies,integrated studies,1,,,,,,
2323,minor in pre,,,,,,,,
2324,theater arts,theatre arts,1,,,,,,
2325,lca,,,,,,,,
2326,global culture,global culture studies,,,,,,,
2327,spanish isb,Spanish,1,,,,,,
2328,arec,agriculture and resources economics,,,1,,,,
2329,dead languages,language,1,,,,,,
2330,societ,social science,,,,,,,
2331,religiou,religion studies,,,,,,,
2332,compeng,computer engineering,,,,,1,,
