,index_x,College Name or Type,State,City_x,big10,sisters,pac,hbcu,public_ivy,west_ivy,little_ivy,sec,flagship,id,City_y,State_acronym,Unnamed: 0,Unnamed: 0.1,enrollment,group,index_y,location,name,public,rank,tuition,union
64,598,pac ten state school,oklahoma,,,,1,,,,,,,599,,,,,,,,,,,,,
7,290,pac-10,,,,,1,,,,,,,291,,,,,,,,,,,,,
10,292,pac-10,,,,,1,,,,,,,293,,,,,,,,,,,,,
11,293,pac-10,,,,,1,,,,,,,294,,,,,,,,,,,,,
2,288,pac-10,,"los angeles, ca",,,1,,,,,,,289,,,,,,,,,,,,,
243,510,private (hbcu),california,los angeles,,,,1,,,,,,511,,,,,,,,,,,,,
409,563,private big 12,,texas,1,,,,,,,,,564,,,,,,,,,,,,,
214,475,private hbcu,,,,,,1,,,,,,476,,,,,,,,,,,,,
219,477,private hbcu,,,,,,1,,,,,,478,,,,,,,,,,,,,
220,478,private hbcu,,urban,,,,1,,,,,,479,,,,,,,,,,,,,
221,479,private hbcu,new jersey,,,,,1,,,,,,480,,,,,,,,,,,,,
232,483,private hbcu,new york,new york,,,,1,,,,,,484,,,,,,,,,,,,,
231,482,private hbcu,washington - d.c.,washington,,,,1,,,,,,483,,,,,,,,,,,,,
0,22,"private, hbcu",iowa,des moines,,,,1,,,,,,23,,,,,,,,,,,,,
402,551,public (big ten),florida,,1,,,,,,,,,552,,,,,,,,,,,,,
268,538,public (hbcu),illinois,,,,,1,,,,,,539,,,,,,,,,,,,,
417,582,public - big 12,,,1,,,,,,,,,583,,,,,,,,,,,,,
19,512,public flagship,,,,,,,,,,,1,513,,,,,,,,,,,,,
0,227,public ivy,,,,,,,1,,,,,228,,,,,,,,,,,,,
4,230,public ivy,,,,,,,1,,,,,231,,,,,,,,,,,,,
5,231,public ivy,,,,,,,1,,,,,232,,,,,,,,,,,,,
8,233,public ivy,,,,,,,1,,,,,234,,,,,,,,,,,,,
11,235,public ivy,,,,,,,1,,,,,236,,,,,,,,,,,,,
13,237,public ivy,,,,,,,1,,,,,238,,,,,,,,,,,,,
19,242,public ivy,,,,,,,1,,,,,243,,,,,,,,,,,,,
22,245,public ivy,,,,,,,1,,,,,246,,,,,,,,,,,,,
26,248,public ivy,,,,,,,1,,,,,249,,,,,,,,,,,,,
