,index_x,College Name or Type,State,City_x,big10,sisters,pac,hbcu,public_ivy,west_ivy,little_ivy,sec,flagship,id,City_y,State_acronym,Unnamed: 0,Unnamed: 0.1,enrollment,group,index_y,location,name,public,rank,tuition,union
1,228,public ivy,virginia,,,,,,1,,,,,229,williamsburg,va,38,32,"6,276",national,96,"Williamsburg, VA",College of William and Mary,TRUE,32,"$43,099 (out-of-state), $20,287 (in-state)",public_ivy
6,232,public ivy,virginia,,,,,,1,,,,,233,williamsburg,va,38,32,"6,276",national,96,"Williamsburg, VA",College of William and Mary,TRUE,32,"$43,099 (out-of-state), $20,287 (in-state)",public_ivy
16,240,public ivy,virginia,,,,,,1,,,,,241,williamsburg,va,38,32,"6,276",national,96,"Williamsburg, VA",College of William and Mary,TRUE,32,"$43,099 (out-of-state), $20,287 (in-state)",public_ivy
23,246,public ivy,virginia,,,,,,1,,,,,247,williamsburg,va,38,32,"6,276",national,96,"Williamsburg, VA",College of William and Mary,TRUE,32,"$43,099 (out-of-state), $20,287 (in-state)",public_ivy
43,265,public ivy,virginia,,,,,,1,,,,,266,williamsburg,va,38,32,"6,276",national,96,"Williamsburg, VA",College of William and Mary,TRUE,32,"$43,099 (out-of-state), $20,287 (in-state)",public_ivy
9,234,public ivy,virginia,arlington,,,,,1,,,,,235,williamsburg,va,38,32,"6,276",national,96,"Williamsburg, VA",College of William and Mary,TRUE,32,"$43,099 (out-of-state), $20,287 (in-state)",public_ivy
70,555,public ivy league,ohio,,,,,,1,,,,,556,oxford,oh,39,77,"16,981",national,231,"Oxford, OH",Miami University Oxford,TRUE,78,"$32,768 (out-of-state), $14,578 (in-state)",public_ivy
72,600,public-ivy/ liberal arts,ohio,oxford,,,,,1,,,,,601,oxford,oh,39,77,"16,981",national,231,"Oxford, OH",Miami University Oxford,TRUE,78,"$32,768 (out-of-state), $14,578 (in-state)",public_ivy
25,222,large public- sec,florida,,,,,,,,,1,,223,gainesville,fl,14,44,"34,554",national,132,"Gainesville, FL",University of Florida,TRUE,42,"$28,658 (out-of-state), $6,381 (in-state)",sec
26,467,large sec,florida,college town,,,,,,,,1,,468,gainesville,fl,14,44,"34,554",national,132,"Gainesville, FL",University of Florida,TRUE,42,"$28,658 (out-of-state), $6,381 (in-state)",sec
27,497,"public, sec",louisiana,baton rouge,,,,,,,,1,,498,baton rouge,la,24,132,"26,118",national,396,"Baton Rouge, LA",Louisiana State University Baton Rouge,TRUE,133,"$28,051 (out-of-state), $11,374 (in-state)",sec
8,8,sec,alabama,,,,,,,,,1,,9,tuscaloosa,al,21,110,"32,563",national,330,"Tuscaloosa, AL",University of Alabama,TRUE,1,"$28,100 (out-of-state), $10,780 (in-state)",sec
23,20,sec,alabama,auburn,,,,,,,,1,,21,auburn,al,23,102,"22,658",national,306,"Auburn, AL",Auburn University,TRUE,3,"$29,640 (out-of-state), $10,968 (in-state)",sec
7,7,sec,florida,,,,,,,,,1,,8,gainesville,fl,14,44,"34,554",national,132,"Gainesville, FL",University of Florida,TRUE,42,"$28,658 (out-of-state), $6,381 (in-state)",sec
5,5,sec,florida,parkland,,,,,,,,1,,6,gainesville,fl,14,44,"34,554",national,132,"Gainesville, FL",University of Florida,TRUE,42,"$28,658 (out-of-state), $6,381 (in-state)",sec
2,2,sec,georgia,,,,,,,,,1,,3,athens,ga,15,54,"27,951",national,162,"Athens, GA",University of Georgia,TRUE,54,"$30,392 (out-of-state), $11,818 (in-state)",sec
3,3,sec,georgia,,,,,,,,,1,,4,athens,ga,15,54,"27,951",national,162,"Athens, GA",University of Georgia,TRUE,54,"$30,392 (out-of-state), $11,818 (in-state)",sec
11,10,sec,georgia,,,,,,,,,1,,11,athens,ga,15,54,"27,951",national,162,"Athens, GA",University of Georgia,TRUE,54,"$30,392 (out-of-state), $11,818 (in-state)",sec
19,17,sec,georgia,,,,,,,,,1,,18,athens,ga,15,54,"27,951",national,162,"Athens, GA",University of Georgia,TRUE,54,"$30,392 (out-of-state), $11,818 (in-state)",sec
6,6,sec,georgia,athens,,,,,,,,1,,7,athens,ga,15,54,"27,951",national,162,"Athens, GA",University of Georgia,TRUE,54,"$30,392 (out-of-state), $11,818 (in-state)",sec
24,21,sec,georgia,atlanta,,,,,,,,1,,22,athens,ga,15,54,"27,951",national,162,"Athens, GA",University of Georgia,TRUE,54,"$30,392 (out-of-state), $11,818 (in-state)",sec
10,9,sec,kentucky,,,,,,,,,1,,10,lexington,ky,16,138,"22,621",national,414,"Lexington, KY",University of Kentucky,TRUE,133,"$28,046 (out-of-state), $11,922 (in-state)",sec
13,12,sec,kentucky,,,,,,,,,1,,13,lexington,ky,16,138,"22,621",national,414,"Lexington, KY",University of Kentucky,TRUE,133,"$28,046 (out-of-state), $11,922 (in-state)",sec
16,15,sec,mississippi,,,,,,,,,1,,16,university,ms,25,148,"19,213",national,444,"University, MS",University of Mississippi,TRUE,145,"$23,554 (out-of-state), $8,290 (in-state)",sec
18,16,sec,south carolina,,,,,,,,,1,,17,columbia,sc,18,107,"25,556",national,321,"Columbia, SC",University of South Carolina,TRUE,3,"$32,362 (out-of-state), $12,262 (in-state)",sec
28,519,sec public,florida,,,,,,,,,1,,520,gainesville,fl,14,44,"34,554",national,132,"Gainesville, FL",University of Florida,TRUE,42,"$28,658 (out-of-state), $6,381 (in-state)",sec
29,520,sec public,tennessee,knoxville,,,,,,,,1,,521,knoxville,tn,19,108,"22,139",national,324,"Knoxville, TN",University of Tennessee,TRUE,3,"$31,160 (out-of-state), $12,970 (in-state)",sec
35,585,sec state,alabama,,,,,,,,,1,,586,tuscaloosa,al,21,110,"32,563",national,330,"Tuscaloosa, AL",University of Alabama,TRUE,1,"$28,100 (out-of-state), $10,780 (in-state)",sec
32,558,sec- guess!,florida,,,,,,,,,1,,559,gainesville,fl,14,44,"34,554",national,132,"Gainesville, FL",University of Florida,TRUE,42,"$28,658 (out-of-state), $6,381 (in-state)",sec
31,552,state univ (uoffl) sec,florida,tampa,,,,,,,,1,,553,gainesville,fl,14,44,"34,554",national,132,"Gainesville, FL",University of Florida,TRUE,42,"$28,658 (out-of-state), $6,381 (in-state)",sec
17,417,7 sisters,new york,ny,,1,,,,,,,,418,poughkeepsie,ny,99,16,"2,424",lac,48,"Poughkeepsie, NY",Vassar College,FALSE,12,"$55,210 ",sisters
22,461,seven sister,massachusetts,,,1,,,,,,,,462,wellesley,ma,98,4,"2,347",lac,12,"Wellesley, MA",Wellesley College,FALSE,3,"$51,148 ",sisters
23,462,seven sister,new york,nyc,,1,,,,,,,,463,new york,ny,94,25,"2,588",lac,75,"New York, NY",Barnard College,FALSE,26,"$52,662 ",sisters
3,400,seven sisters,massachusetts,,,1,,,,,,,,401,wellesley,ma,98,4,"2,347",lac,12,"Wellesley, MA",Wellesley College,FALSE,3,"$51,148 ",sisters
6,401,seven sisters,massachusetts,,,1,,,,,,,,402,wellesley,ma,98,4,"2,347",lac,12,"Wellesley, MA",Wellesley College,FALSE,3,"$51,148 ",sisters
14,405,seven sisters,massachusetts,,,1,,,,,,,,406,wellesley,ma,98,4,"2,347",lac,12,"Wellesley, MA",Wellesley College,FALSE,3,"$51,148 ",sisters
9,402,seven sisters,massachusetts,boston,,1,,,,,,,,403,wellesley,ma,98,4,"2,347",lac,12,"Wellesley, MA",Wellesley College,FALSE,3,"$51,148 ",sisters
29,549,tier i lac/seven sisters schoo,massachusetts,,,1,,,,,,,,550,wellesley,ma,98,4,"2,347",lac,12,"Wellesley, MA",Wellesley College,FALSE,3,"$51,148 ",sisters
8,536,wc ivy,california,,,,,,,1,,,,537,claremont,ca,114,8,"1,347",lac,24,"Claremont, CA",Claremont McKenna College,FALSE,8,"$52,825 ",west_ivy
4,530,west coast ivy,california,san diego,,,,,,1,,,,531,claremont,ca,114,8,"1,347",lac,24,"Claremont, CA",Claremont McKenna College,FALSE,8,"$52,825 ",west_ivy
30,586,7 sister,,,,1,,,,,,,,587,,,,,,,,,,,,,
18,418,7 sisters,,texas,,1,,,,,,,,419,,,,,,,,,,,,,
0,498,"\""little ivies\""",arizona,,,,,,,,1,,,499,,,,,,,,,,,,,
368,473,b10,colorado,,1,,,,,,,,,474,,,,,,,,,,,,,
181,303,big 10,,,1,,,,,,,,,304,,,,,,,,,,,,,
184,305,big 10,,,1,,,,,,,,,306,,,,,,,,,,,,,
185,306,big 10,,,1,,,,,,,,,307,,,,,,,,,,,,,
200,317,big 10,,,1,,,,,,,,,318,,,,,,,,,,,,,
203,319,big 10,,,1,,,,,,,,,320,,,,,,,,,,,,,
204,320,big 10,,,1,,,,,,,,,321,,,,,,,,,,,,,
207,322,big 10,,,1,,,,,,,,,323,,,,,,,,,,,,,
227,337,big 10,,,1,,,,,,,,,338,,,,,,,,,,,,,
230,339,big 10,,,1,,,,,,,,,340,,,,,,,,,,,,,
232,341,big 10,,,1,,,,,,,,,342,,,,,,,,,,,,,
241,347,big 10,,,1,,,,,,,,,348,,,,,,,,,,,,,
253,357,big 10,,,1,,,,,,,,,358,,,,,,,,,,,,,
270,369,big 10,,,1,,,,,,,,,370,,,,,,,,,,,,,
281,377,big 10,,,1,,,,,,,,,378,,,,,,,,,,,,,
282,378,big 10,,,1,,,,,,,,,379,,,,,,,,,,,,,
286,381,big 10,,,1,,,,,,,,,382,,,,,,,,,,,,,
287,382,big 10,,,1,,,,,,,,,383,,,,,,,,,,,,,
288,383,big 10,,,1,,,,,,,,,384,,,,,,,,,,,,,
293,387,big 10,,,1,,,,,,,,,388,,,,,,,,,,,,,
294,388,big 10,,,1,,,,,,,,,389,,,,,,,,,,,,,
296,390,big 10,,,1,,,,,,,,,391,,,,,,,,,,,,,
303,395,big 10,,,1,,,,,,,,,396,,,,,,,,,,,,,
289,384,big 10,,"champaign, il",1,,,,,,,,,385,,,,,,,,,,,,,
299,392,big 10,,chicago,1,,,,,,,,,393,,,,,,,,,,,,,
214,327,big 10,,iowa,1,,,,,,,,,328,,,,,,,,,,,,,
243,349,big 10,,"madison, wi, usa",1,,,,,,,,,350,,,,,,,,,,,,,
242,348,big 10,,nyc,1,,,,,,,,,349,,,,,,,,,,,,,
223,334,big 10,,wisconsin,1,,,,,,,,,335,,,,,,,,,,,,,
306,397,big 10,arizona,phoenix,1,,,,,,,,,398,,,,,,,,,,,,,
283,379,big 10,california,,1,,,,,,,,,380,,,,,,,,,,,,,
175,299,big 10,california,bay area,1,,,,,,,,,300,,,,,,,,,,,,,
187,308,big 10,california,long beach,1,,,,,,,,,309,,,,,,,,,,,,,
269,368,big 10,california,los angeles,1,,,,,,,,,369,,,,,,,,,,,,,
266,366,big 10,massachusetts,,1,,,,,,,,,367,,,,,,,,,,,,,
295,389,big 10,massachusetts,town,1,,,,,,,,,390,,,,,,,,,,,,,
249,354,big 10,north carolina,,1,,,,,,,,,355,,,,,,,,,,,,,
208,323,big 10,other,,1,,,,,,,,,324,,,,,,,,,,,,,
194,312,big 10,south carolina,,1,,,,,,,,,313,,,,,,,,,,,,,
244,350,big 10,south carolina,,1,,,,,,,,,351,,,,,,,,,,,,,
302,394,big 10,washington - d.c.,,1,,,,,,,,,395,,,,,,,,,,,,,
420,590,big 10 or is it 11 or 12 now?,new york,,1,,,,,,,,,591,,,,,,,,,,,,,
394,540,big 10 public,,,1,,,,,,,,,541,,,,,,,,,,,,,
416,576,big 10 school,,,1,,,,,,,,,577,,,,,,,,,,,,,
362,468,big 10 university,,,1,,,,,,,,,469,,,,,,,,,,,,,
363,469,big 10 university,,"west lafayette, indi",1,,,,,,,,,470,,,,,,,,,,,,,
323,437,big 12,,,1,,,,,,,,,438,,,,,,,,,,,,,
330,442,big 12,,,1,,,,,,,,,443,,,,,,,,,,,,,
334,445,big 12,,,1,,,,,,,,,446,,,,,,,,,,,,,
339,447,big 12,,,1,,,,,,,,,448,,,,,,,,,,,,,
342,449,big 12,,,1,,,,,,,,,450,,,,,,,,,,,,,
348,452,big 12,,,1,,,,,,,,,453,,,,,,,,,,,,,
355,456,big 12,,,1,,,,,,,,,457,,,,,,,,,,,,,
322,436,big 12,,"200,000 people",1,,,,,,,,,437,,,,,,,,,,,,,
